age,male,time_seconds,year
38,1,7717,2014
28,1,7728,2014
29,1,7730,2014
32,1,7777,2014
29,1,7790,2014
26,1,7863,2014
30,1,7907,2014
29,1,7917,2014
31,1,7954,2014
33,1,7963,2014
30,1,7972,2014
29,1,8068,2014
34,1,8080,2014
28,1,8096,2014
31,1,8099,2014
35,1,8166,2014
27,1,8232,2014
29,1,8236,2014
27,1,8266,2014
31,1,8270,2014
27,1,8345,2014
42,1,8388,2014
26,1,8391,2014
26,0,8399,2014
26,1,8431,2014
24,0,8435,2014
29,0,8441,2014
44,1,8443,2014
27,1,8452,2014
24,1,8455,2014
28,1,8480,2014
29,0,8488,2014
26,0,8489,2014
23,1,8493,2014
25,1,8501,2014
32,0,8522,2014
29,1,8542,2014
30,1,8561,2014
30,0,8580,2014
34,1,8601,2014
27,0,8602,2014
33,1,8612,2014
40,1,8612,2014
34,1,8623,2014
30,0,8634,2014
30,1,8636,2014
23,0,8661,2014
31,1,8675,2014
33,1,8675,2014
48,1,8679,2014
36,1,8737,2014
33,1,8741,2014
30,1,8742,2014
25,1,8774,2014
28,1,8777,2014
26,1,8787,2014
24,1,8791,2014
24,1,8796,2014
26,1,8798,2014
24,1,8806,2014
31,1,8811,2014
27,1,8819,2014
44,1,8820,2014
24,1,8822,2014
27,1,8840,2014
29,1,8852,2014
26,1,8856,2014
25,1,8857,2014
30,1,8858,2014
28,0,8860,2014
24,1,8875,2014
25,1,8878,2014
28,1,8892,2014
31,1,8910,2014
26,1,8912,2014
28,1,8919,2014
24,1,8925,2014
25,1,8927,2014
34,1,8930,2014
26,1,8935,2014
43,1,8939,2014
31,1,8944,2014
30,1,8952,2014
36,1,8955,2014
29,1,8957,2014
32,1,8959,2014
25,1,8966,2014
29,1,8971,2014
30,1,8972,2014
29,1,8981,2014
27,1,8982,2014
36,1,8989,2014
34,1,9003,2014
34,1,9004,2014
26,1,9004,2014
30,1,9013,2014
29,1,9014,2014
28,1,9020,2014
28,1,9024,2014
27,1,9024,2014
31,0,9029,2014
31,1,9032,2014
38,1,9033,2014
30,0,9034,2014
21,1,9043,2014
32,1,9045,2014
32,1,9061,2014
32,1,9074,2014
34,0,9075,2014
32,0,9078,2014
37,1,9079,2014
43,1,9091,2014
28,1,9093,2014
24,1,9103,2014
30,1,9110,2014
28,1,9111,2014
30,1,9118,2014
32,1,9120,2014
31,1,9124,2014
33,0,9124,2014
28,1,9125,2014
25,1,9128,2014
31,1,9132,2014
25,1,9135,2014
33,1,9135,2014
26,1,9140,2014
31,0,9147,2014
33,1,9161,2014
24,1,9166,2014
28,1,9168,2014
35,0,9169,2014
34,1,9171,2014
22,1,9171,2014
33,1,9173,2014
27,1,9178,2014
47,1,9182,2014
35,1,9184,2014
40,1,9184,2014
28,0,9195,2014
36,1,9206,2014
27,1,9206,2014
27,1,9209,2014
47,1,9216,2014
28,0,9219,2014
36,1,9225,2014
27,1,9233,2014
22,1,9234,2014
29,1,9235,2014
27,1,9239,2014
26,1,9242,2014
38,1,9242,2014
30,1,9242,2014
45,1,9243,2014
33,1,9245,2014
24,1,9246,2014
25,1,9251,2014
22,1,9257,2014
36,1,9257,2014
32,1,9258,2014
30,1,9262,2014
31,1,9263,2014
24,1,9264,2014
28,1,9270,2014
28,1,9271,2014
24,1,9271,2014
37,1,9276,2014
26,1,9277,2014
33,1,9278,2014
53,1,9281,2014
26,1,9281,2014
53,1,9283,2014
30,1,9283,2014
39,1,9288,2014
32,1,9294,2014
25,0,9297,2014
26,1,9298,2014
25,1,9301,2014
29,1,9302,2014
24,1,9302,2014
34,1,9305,2014
27,1,9306,2014
41,1,9306,2014
28,0,9308,2014
25,1,9309,2014
37,1,9312,2014
42,1,9314,2014
27,1,9315,2014
27,1,9322,2014
41,1,9324,2014
34,1,9324,2014
40,1,9324,2014
26,1,9325,2014
40,1,9327,2014
27,1,9330,2014
33,1,9332,2014
33,1,9333,2014
26,1,9335,2014
42,1,9339,2014
32,1,9339,2014
43,1,9340,2014
31,1,9340,2014
36,1,9345,2014
25,1,9349,2014
25,1,9349,2014
22,1,9353,2014
32,1,9355,2014
31,1,9358,2014
22,1,9362,2014
28,1,9363,2014
37,1,9374,2014
32,1,9375,2014
35,1,9377,2014
40,1,9378,2014
30,1,9378,2014
28,1,9385,2014
38,1,9385,2014
44,1,9386,2014
29,1,9392,2014
39,1,9399,2014
37,1,9404,2014
40,0,9407,2014
27,1,9408,2014
29,1,9413,2014
40,1,9413,2014
37,1,9424,2014
31,1,9425,2014
34,1,9426,2014
27,0,9426,2014
42,1,9427,2014
35,1,9429,2014
33,1,9429,2014
24,1,9431,2014
29,1,9431,2014
45,1,9433,2014
27,1,9435,2014
27,1,9437,2014
34,1,9438,2014
23,1,9438,2014
36,1,9446,2014
33,1,9447,2014
30,1,9449,2014
43,0,9449,2014
42,1,9449,2014
31,1,9455,2014
27,1,9455,2014
48,1,9456,2014
34,1,9461,2014
28,1,9464,2014
33,1,9466,2014
39,1,9468,2014
27,1,9468,2014
26,1,9469,2014
44,1,9471,2014
21,1,9472,2014
41,1,9473,2014
33,1,9474,2014
28,1,9474,2014
27,1,9475,2014
24,1,9475,2014
27,1,9478,2014
28,1,9483,2014
31,1,9487,2014
29,1,9489,2014
30,1,9489,2014
40,1,9495,2014
40,1,9497,2014
37,1,9498,2014
25,1,9499,2014
40,1,9500,2014
32,1,9501,2014
34,1,9506,2014
28,1,9508,2014
28,1,9508,2014
24,1,9510,2014
41,1,9511,2014
27,1,9511,2014
29,1,9514,2014
49,1,9514,2014
32,1,9517,2014
53,1,9518,2014
31,1,9520,2014
32,1,9522,2014
26,1,9525,2014
25,1,9525,2014
34,1,9525,2014
26,1,9526,2014
25,1,9526,2014
32,1,9527,2014
32,1,9528,2014
