time,age,gender,year
02:22:09,25-29,Women,2011
02:24:38,25-29,Women,2011
02:26:17,20-24,Women,2011
02:26:41,35-39,Women,2011
02:29:27,25-29,Women,2011
02:32:57,20-24,Women,2011
02:33:35,25-29,Women,2011
02:35:35,35-39,Women,2011
02:36:58,25-29,Women,2011
02:38:51,30-34,Women,2011
02:43:12,25-29,Women,2011
02:43:40,25-29,Women,2011
02:44:09,25-29,Women,2011
02:44:19,30-34,Women,2011
02:44:32,30-34,Women,2011
02:44:49,30-34,Women,2011
02:45:02,35-39,Women,2011
02:45:26,25-29,Women,2011
02:45:31,30-34,Women,2011
02:45:36,25-29,Women,2011
02:45:59,20-24,Women,2011
02:46:54,30-34,Women,2011
02:47:07,25-29,Women,2011
02:47:10,25-29,Women,2011
02:47:30,35-39,Women,2011
02:47:53,40-44,Women,2011
02:48:00,45-49,Women,2011
02:48:01,25-29,Women,2011
02:48:21,35-39,Women,2011
02:49:03,25-29,Women,2011
02:49:11,25-29,Women,2011
02:49:14,25-29,Women,2011
02:49:30,30-34,Women,2011
02:50:25,35-39,Women,2011
02:50:31,35-39,Women,2011
02:50:41,30-34,Women,2011
02:51:02,40-44,Women,2011
02:51:04,20-24,Women,2011
02:51:15,35-39,Women,2011
02:51:46,25-29,Women,2011
02:51:53,30-34,Women,2011
02:52:05,30-34,Women,2011
02:52:07,30-34,Women,2011
02:52:16,30-34,Women,2011
02:52:24,30-34,Women,2011
02:52:34,25-29,Women,2011
02:52:36,25-29,Women,2011
02:52:43,25-29,Women,2011
02:52:43,30-34,Women,2011
02:52:44,35-39,Women,2011
02:52:53,30-34,Women,2011
02:52:57,35-39,Women,2011
02:53:12,30-34,Women,2011
02:53:21,30-34,Women,2011
02:53:33,25-29,Women,2011
02:53:52,25-29,Women,2011
02:54:40,30-34,Women,2011
02:54:53,25-29,Women,2011
02:55:02,25-29,Women,2011
02:55:23,25-29,Women,2011
02:55:35,25-29,Women,2011
02:55:38,30-34,Women,2011
02:55:40,40-44,Women,2011
02:56:03,25-29,Women,2011
02:56:47,20-24,Women,2011
02:56:47,35-39,Women,2011
02:56:58,35-39,Women,2011
02:57:04,30-34,Women,2011
02:57:12,30-34,Women,2011
02:57:19,25-29,Women,2011
02:57:20,30-34,Women,2011
02:57:27,30-34,Women,2011
02:57:58,20-24,Women,2011
02:58:02,25-29,Women,2011
02:58:02,20-24,Women,2011
02:58:11,25-29,Women,2011
02:58:13,25-29,Women,2011
02:58:21,35-39,Women,2011
02:58:32,25-29,Women,2011
02:58:51,25-29,Women,2011
02:58:59,25-29,Women,2011
02:59:02,25-29,Women,2011
02:59:07,30-34,Women,2011
