time,age,gender,year
02:30:41,30-34,Women,1996
02:31:06,30-34,Women,1996
02:33:01,35-39,Women,1996
02:33:53,35-39,Women,1996
02:39:18,30-34,Women,1996
02:39:23,30-34,Women,1996
02:39:36,35-39,Women,1996
02:42:00,35-39,Women,1996
02:42:39,30-34,Women,1996
02:44:21,25-29,Women,1996
02:44:29,35-39,Women,1996
02:46:36,30-34,Women,1996
02:48:47,35-39,Women,1996
02:51:29,25-29,Women,1996
02:51:55,30-34,Women,1996
02:55:01,30-34,Women,1996
02:55:58,40-44,Women,1996
02:56:03,20-24,Women,1996
02:56:34,20-24,Women,1996
02:57:51,25-29,Women,1996
02:58:43,35-39,Women,1996
03:01:35,25-29,Women,1996
03:03:11,25-29,Women,1996
03:03:58,35-39,Women,1996
03:03:59,40-44,Women,1996
03:04:08,20-24,Women,1996
03:04:13,25-29,Women,1996
03:04:18,25-29,Women,1996
03:04:29,25-29,Women,1996
03:04:34,45-49,Women,1996
03:04:36,30-34,Women,1996
03:04:59,30-34,Women,1996
03:07:49,25-29,Women,1996
03:08:59,35-39,Women,1996
03:09:09,25-29,Women,1996
03:09:48,30-34,Women,1996
03:11:33,25-29,Women,1996
03:12:00,35-39,Women,1996
03:12:06,25-29,Women,1996
03:12:38,40-44,Women,1996
03:12:50,35-39,Women,1996
03:12:51,20-24,Women,1996
03:13:47,30-34,Women,1996
03:14:11,25-29,Women,1996
03:14:12,45-49,Women,1996
03:14:44,25-29,Women,1996
03:15:31,20-24,Women,1996
03:15:42,35-39,Women,1996
03:16:01,25-29,Women,1996
03:16:02,25-29,Women,1996
03:16:45,25-29,Women,1996
03:16:55,25-29,Women,1996
03:17:11,30-34,Women,1996
03:17:33,35-39,Women,1996
03:17:38,35-39,Women,1996
03:18:06,30-34,Women,1996
03:18:20,35-39,Women,1996
03:18:24,30-34,Women,1996
03:18:43,35-39,Women,1996
03:18:47,30-34,Women,1996
03:18:52,25-29,Women,1996
03:19:35,25-29,Women,1996
03:19:36,35-39,Women,1996
03:19:45,25-29,Women,1996
03:19:59,25-29,Women,1996
03:20:02,25-29,Women,1996
03:20:15,35-39,Women,1996
03:20:23,30-34,Women,1996
03:20:27,30-34,Women,1996
03:20:30,30-34,Women,1996
03:20:37,35-39,Women,1996
03:20:45,55-59,Women,1996
03:20:53,30-34,Women,1996
03:20:54,30-34,Women,1996
03:20:55,30-34,Women,1996
03:20:56,20-24,Women,1996
03:21:34,20-24,Women,1996
03:21:39,30-34,Women,1996
03:21:50,25-29,Women,1996
03:21:50,20-24,Women,1996
03:22:28,20-24,Women,1996
03:22:38,20-24,Women,1996
03:22:45,40-44,Women,1996
03:22:48,30-34,Women,1996
03:22:49,35-39,Women,1996
03:22:54,45-49,Women,1996
03:23:02,25-29,Women,1996
03:23:16,25-29,Women,1996
03:23:18,30-34,Women,1996
03:23:39,20-24,Women,1996
03:24:20,35-39,Women,1996
03:24:34,25-29,Women,1996
03:24:37,30-34,Women,1996
03:24:39,25-29,Women,1996
03:24:49,35-39,Women,1996
03:24:55,45-49,Women,1996
03:25:13,20-24,Women,1996
03:25:32,25-29,Women,1996
03:25:35,35-39,Women,1996
03:25:43,35-39,Women,1996
03:25:48,30-34,Women,1996
03:25:55,35-39,Women,1996
03:26:08,30-34,Women,1996
03:26:17,40-44,Women,1996
03:26:22,20-24,Women,1996
03:26:39,25-29,Women,1996
03:26:41,30-34,Women,1996
03:26:42,25-29,Women,1996
03:26:52,30-34,Women,1996
03:27:15,25-29,Women,1996
03:27:22,25-29,Women,1996
03:27:30,20-24,Women,1996
03:27:37,35-39,Women,1996
03:27:47,40-44,Women,1996
03:27:50,20-24,Women,1996
03:27:58,30-34,Women,1996
03:28:05,25-29,Women,1996
03:28:07,50-54,Women,1996
03:28:15,25-29,Women,1996
03:28:23,25-29,Women,1996
03:28:25,35-39,Women,1996
03:28:31,20-24,Women,1996
03:28:38,40-44,Women,1996
03:29:14,25-29,Women,1996
03:29:19,35-39,Women,1996
03:29:21,35-39,Women,1996
03:29:24,35-39,Women,1996
03:29:25,20-24,Women,1996
03:29:31,25-29,Women,1996
03:29:33,25-29,Women,1996
03:29:39,25-29,Women,1996
03:29:40,25-29,Women,1996
03:30:14,40-44,Women,1996
03:30:25,30-34,Women,1996
03:30:29,30-34,Women,1996
03:30:34,40-44,Women,1996
03:30:39,30-34,Women,1996
03:30:46,25-29,Women,1996
03:30:49,35-39,Women,1996
03:30:56,30-34,Women,1996
03:30:57,30-34,Women,1996
03:31:04,20-24,Women,1996
03:31:07,30-34,Women,1996
03:31:09,55-59,Women,1996
03:31:14,25-29,Women,1996
03:31:18,25-29,Women,1996
03:31:22,25-29,Women,1996
03:31:24,30-34,Women,1996
03:31:38,40-44,Women,1996
03:31:40,40-44,Women,1996
03:31:48,20-24,Women,1996
03:31:51,30-34,Women,1996
03:31:55,35-39,Women,1996
03:32:01,35-39,Women,1996
03:32:06,40-44,Women,1996
03:32:09,20-24,Women,1996
03:32:19,35-39,Women,1996
03:32:27,30-34,Women,1996
03:32:29,30-34,Women,1996
03:32:34,30-34,Women,1996
03:32:54,25-29,Women,1996
03:32:57,35-39,Women,1996
03:32:59,25-29,Women,1996
03:33:18,45-49,Women,1996
03:33:21,20-24,Women,1996
03:33:23,20-24,Women,1996
03:33:38,25-29,Women,1996
03:33:55,30-34,Women,1996
03:34:14,50-54,Women,1996
03:34:15,30-34,Women,1996
03:34:16,30-34,Women,1996
03:34:27,25-29,Women,1996
03:34:35,35-39,Women,1996
03:34:37,35-39,Women,1996
03:34:44,50-54,Women,1996
03:34:47,25-29,Women,1996
03:35:05,30-34,Women,1996
03:35:06,30-34,Women,1996
03:35:16,35-39,Women,1996
03:35:19,25-29,Women,1996
03:35:26,25-29,Women,1996
03:35:38,40-44,Women,1996
03:35:40,45-49,Women,1996
03:35:44,30-34,Women,1996
03:35:45,30-34,Women,1996
03:35:55,25-29,Women,1996
03:36:06,20-24,Women,1996
03:36:12,25-29,Women,1996
03:36:15,25-29,Women,1996
03:36:17,25-29,Women,1996
03:36:22,40-44,Women,1996
03:36:25,25-29,Women,1996
03:36:26,35-39,Women,1996
03:36:26,25-29,Women,1996
03:36:29,40-44,Women,1996
03:36:32,35-39,Women,1996
03:36:34,25-29,Women,1996
03:36:48,25-29,Women,1996
03:37:11,35-39,Women,1996
03:37:23,25-29,Women,1996
03:37:25,30-34,Women,1996
03:37:31,35-39,Women,1996
03:37:39,35-39,Women,1996
03:37:45,35-39,Women,1996
03:37:48,25-29,Women,1996
03:37:50,35-39,Women,1996
03:37:52,25-29,Women,1996
03:37:54,25-29,Women,1996
03:37:59,20-24,Women,1996
03:38:00,30-34,Women,1996
03:38:10,25-29,Women,1996
03:38:13,30-34,Women,1996
03:38:18,20-24,Women,1996
03:38:22,25-29,Women,1996
03:38:24,40-44,Women,1996
