time,age,gender,year
00:20:23,30-34,Men,1999
00:24:28,35-39,Men,1999
00:29:40,35-39,Men,1999
00:30:34,35-39,Men,1999
02:05:42,25-29,Men,1999
02:06:16,30-34,Men,1999
02:08:00,30-34,Men,1999
02:09:32,25-29,Men,1999
02:09:35,30-34,Men,1999
02:09:36,25-29,Men,1999
02:09:37,25-29,Men,1999
02:11:14,25-29,Men,1999
02:11:18,25-29,Men,1999
02:11:44,30-34,Men,1999
02:12:16,25-29,Men,1999
02:12:19,20-24,Men,1999
02:12:45,25-29,Men,1999
02:13:06,25-29,Men,1999
02:13:25,30-34,Men,1999
02:13:27,25-29,Men,1999
02:13:42,25-29,Men,1999
02:14:04,25-29,Men,1999
02:14:44,30-34,Men,1999
02:14:55,30-34,Men,1999
02:15:14,25-29,Men,1999
02:15:28,30-34,Men,1999
02:15:36,25-29,Men,1999
02:16:34,35-39,Men,1999
02:17:02,40-44,Men,1999
02:17:04,40-44,Men,1999
02:17:48,35-39,Men,1999
02:17:53,25-29,Men,1999
02:18:06,25-29,Men,1999
02:19:20,30-34,Men,1999
02:19:38,25-29,Men,1999
02:19:43,20-24,Men,1999
02:19:49,25-29,Men,1999
02:19:50,25-29,Men,1999
02:20:04,35-39,Men,1999
02:20:04,30-34,Men,1999
02:20:51,25-29,Men,1999
02:21:26,35-39,Men,1999
02:21:28,35-39,Men,1999
02:21:32,25-29,Men,1999
02:22:09,25-29,Men,1999
02:22:10,25-29,Men,1999
02:22:33,30-34,Men,1999
02:22:38,20-24,Men,1999
02:22:45,30-34,Men,1999
02:22:55,25-29,Men,1999
02:23:34,25-29,Men,1999
02:23:37,35-39,Men,1999
02:23:45,35-39,Men,1999
02:24:24,20-24,Men,1999
02:24:26,30-34,Men,1999
02:24:31,25-29,Men,1999
02:24:40,25-29,Men,1999
02:24:42,30-34,Men,1999
02:24:55,25-29,Men,1999
02:25:17,20-24,Men,1999
02:25:48,30-34,Men,1999
02:25:50,25-29,Men,1999
02:25:57,25-29,Men,1999
02:26:11,30-34,Men,1999
02:26:12,25-29,Men,1999
02:26:24,25-29,Men,1999
02:26:37,40-44,Men,1999
02:26:39,20-24,Men,1999
02:26:46,30-34,Men,1999
02:26:47,35-39,Men,1999
02:26:51,25-29,Men,1999
02:27:00,25-29,Men,1999
02:27:01,35-39,Men,1999
02:27:02,40-44,Men,1999
02:27:05,25-29,Men,1999
02:27:14,25-29,Men,1999
02:27:16,25-29,Men,1999
02:27:21,30-34,Men,1999
02:27:29,25-29,Men,1999
02:27:53,25-29,Men,1999
02:27:58,25-29,Men,1999
02:28:02,25-29,Men,1999
02:28:10,25-29,Men,1999
02:28:15,30-34,Men,1999
02:28:28,25-29,Men,1999
02:28:29,25-29,Men,1999
02:28:35,25-29,Men,1999
02:28:37,20-24,Men,1999
02:28:37,30-34,Men,1999
02:28:37,30-34,Men,1999
02:28:38,25-29,Men,1999
02:28:43,30-34,Men,1999
02:28:53,40-44,Men,1999
02:28:55,30-34,Men,1999
02:29:08,45-49,Men,1999
02:29:34,25-29,Men,1999
02:29:35,30-34,Men,1999
02:29:43,30-34,Men,1999
02:29:54,35-39,Men,1999
02:29:55,30-34,Men,1999
02:29:56,25-29,Men,1999
02:30:13,25-29,Men,1999
02:30:15,35-39,Men,1999
02:30:18,20-24,Men,1999
02:31:25,35-39,Men,1999
02:31:36,35-39,Men,1999
02:31:40,50-54,Men,1999
02:31:46,25-29,Men,1999
02:31:52,25-29,Men,1999
02:31:55,30-34,Men,1999
02:32:01,25-29,Men,1999
02:32:03,35-39,Men,1999
02:32:42,35-39,Men,1999
02:32:55,25-29,Men,1999
02:32:56,35-39,Men,1999
02:33:02,30-34,Men,1999
02:33:49,35-39,Men,1999
02:33:54,40-44,Men,1999
02:33:58,25-29,Men,1999
02:33:58,30-34,Men,1999
02:34:01,30-34,Men,1999
02:34:10,25-29,Men,1999
02:34:14,30-34,Men,1999
02:34:18,35-39,Men,1999
02:34:20,25-29,Men,1999
02:34:46,35-39,Men,1999
02:34:54,30-34,Men,1999
02:35:02,35-39,Men,1999
02:35:13,25-29,Men,1999
02:35:14,40-44,Men,1999
02:35:16,30-34,Men,1999
02:35:17,35-39,Men,1999
02:35:30,45-49,Men,1999
02:35:38,25-29,Men,1999
02:35:42,30-34,Men,1999
02:35:50,25-29,Men,1999
02:35:58,35-39,Men,1999
02:35:59,25-29,Men,1999
02:35:59,50-54,Men,1999
02:36:13,30-34,Men,1999
02:36:15,35-39,Men,1999
02:36:22,35-39,Men,1999
02:36:29,25-29,Men,1999
02:36:32,20-24,Men,1999
02:36:35,30-34,Men,1999
02:36:37,20-24,Men,1999
02:36:47,35-39,Men,1999
02:36:51,20-24,Men,1999
02:36:59,40-44,Men,1999
02:37:04,35-39,Men,1999
02:37:12,45-49,Men,1999
02:37:18,30-34,Men,1999
02:37:20,25-29,Men,1999
02:37:24,20-24,Men,1999
02:37:37,35-39,Men,1999
02:37:42,30-34,Men,1999
02:37:44,30-34,Men,1999
02:37:48,20-24,Men,1999
02:37:51,30-34,Men,1999
02:37:55,30-34,Men,1999
02:38:03,35-39,Men,1999
02:38:08,40-44,Men,1999
02:38:08,30-34,Men,1999
02:38:12,20-24,Men,1999
02:38:25,35-39,Men,1999
02:38:36,30-34,Men,1999
02:38:37,30-34,Men,1999
02:38:42,40-44,Men,1999
02:38:43,20-24,Men,1999
02:38:57,25-29,Men,1999
02:38:58,30-34,Men,1999
02:39:10,20-24,Men,1999
02:39:11,25-29,Men,1999
02:39:11,25-29,Men,1999
02:39:35,25-29,Men,1999
02:39:35,30-34,Men,1999
02:39:41,20-24,Men,1999
02:39:44,30-34,Men,1999
02:39:45,25-29,Men,1999
02:39:53,30-34,Men,1999
02:39:53,20-24,Men,1999
02:39:55,25-29,Men,1999
02:39:57,35-39,Men,1999
02:39:58,35-39,Men,1999
02:40:15,40-44,Men,1999
02:40:17,25-29,Men,1999
02:40:18,30-34,Men,1999
02:40:38,25-29,Men,1999
02:40:41,35-39,Men,1999
02:40:43,25-29,Men,1999
02:40:47,40-44,Men,1999
02:40:56,35-39,Men,1999
02:41:05,35-39,Men,1999
02:41:12,20-24,Men,1999
02:41:16,30-34,Men,1999
02:41:24,40-44,Men,1999
02:41:29,35-39,Men,1999
02:41:30,40-44,Men,1999
02:41:33,35-39,Men,1999
02:41:33,30-34,Men,1999
02:41:41,35-39,Men,1999
02:41:48,35-39,Men,1999
02:41:49,35-39,Men,1999
02:41:51,35-39,Men,1999
02:42:11,30-34,Men,1999
02:42:11,30-34,Men,1999
02:42:21,35-39,Men,1999
02:42:22,45-49,Men,1999
02:42:23,40-44,Men,1999
02:42:25,30-34,Men,1999
02:42:28,30-34,Men,1999
02:42:30,25-29,Men,1999
02:42:35,35-39,Men,1999
02:42:40,40-44,Men,1999
02:42:42,25-29,Men,1999
02:42:46,25-29,Men,1999
02:42:50,35-39,Men,1999
02:42:51,30-34,Men,1999
02:42:57,35-39,Men,1999
02:42:58,20-24,Men,1999
02:43:01,25-29,Men,1999
02:43:07,35-39,Men,1999
02:43:08,35-39,Men,1999
02:43:13,35-39,Men,1999
02:43:16,35-39,Men,1999
02:43:19,30-34,Men,1999
02:43:25,35-39,Men,1999
02:43:26,25-29,Men,1999
02:43:28,35-39,Men,1999
02:43:28,25-29,Men,1999
02:43:31,40-44,Men,1999
02:43:33,35-39,Men,1999
02:43:43,30-34,Men,1999
02:43:44,30-34,Men,1999
02:43:46,25-29,Men,1999
02:43:46,25-29,Men,1999
02:43:48,25-29,Men,1999
02:43:50,25-29,Men,1999
02:43:57,35-39,Men,1999
02:43:58,40-44,Men,1999
02:44:06,25-29,Men,1999
02:44:08,25-29,Men,1999
02:44:09,30-34,Men,1999
02:44:14,35-39,Men,1999
02:44:15,40-44,Men,1999
02:44:16,35-39,Men,1999
02:44:21,35-39,Men,1999
02:44:22,25-29,Men,1999
02:44:22,40-44,Men,1999
02:44:23,30-34,Men,1999
02:44:23,19 and under,Men,1999
02:44:32,30-34,Men,1999
02:44:35,30-34,Men,1999
02:44:36,45-49,Men,1999
02:44:41,25-29,Men,1999
02:44:44,45-49,Men,1999
02:44:52,20-24,Men,1999
02:44:53,25-29,Men,1999
02:45:03,25-29,Men,1999
02:45:04,20-24,Men,1999
02:45:07,25-29,Men,1999
02:45:09,30-34,Men,1999
02:45:15,30-34,Men,1999
02:45:15,45-49,Men,1999
02:45:16,25-29,Men,1999
02:45:18,30-34,Men,1999
02:45:19,25-29,Men,1999
02:45:20,40-44,Men,1999
02:45:21,30-34,Men,1999
02:45:22,40-44,Men,1999
02:45:23,30-34,Men,1999
02:45:23,30-34,Men,1999
02:45:28,30-34,Men,1999
02:45:35,35-39,Men,1999
02:45:38,35-39,Men,1999
02:45:39,35-39,Men,1999
02:45:40,35-39,Men,1999
02:45:45,30-34,Men,1999
02:45:48,35-39,Men,1999
02:45:49,35-39,Men,1999
02:45:52,40-44,Men,1999
02:45:52,25-29,Men,1999
02:45:56,40-44,Men,1999
02:45:57,25-29,Men,1999
02:45:59,20-24,Men,1999
02:45:59,30-34,Men,1999
02:46:00,25-29,Men,1999
02:46:00,40-44,Men,1999
02:46:09,25-29,Men,1999
02:46:09,45-49,Men,1999
02:46:11,25-29,Men,1999
02:46:15,25-29,Men,1999
02:46:21,40-44,Men,1999
02:46:21,30-34,Men,1999
02:46:22,40-44,Men,1999
02:46:27,30-34,Men,1999
02:46:34,40-44,Men,1999
02:46:36,30-34,Men,1999
02:46:37,35-39,Men,1999
02:46:39,35-39,Men,1999
02:46:44,40-44,Men,1999
02:46:44,30-34,Men,1999
02:46:49,30-34,Men,1999
02:46:54,35-39,Men,1999
02:46:56,40-44,Men,1999
02:47:00,30-34,Men,1999
02:47:01,45-49,Men,1999
02:47:07,30-34,Men,1999
02:47:15,25-29,Men,1999
02:47:15,20-24,Men,1999
02:47:24,50-54,Men,1999
02:47:24,30-34,Men,1999
02:47:31,25-29,Men,1999
02:47:32,30-34,Men,1999
02:47:36,30-34,Men,1999
02:47:37,20-24,Men,1999
02:47:38,20-24,Men,1999
02:47:40,30-34,Men,1999
02:47:47,30-34,Men,1999
02:47:51,30-34,Men,1999
02:47:52,40-44,Men,1999
02:47:56,40-44,Men,1999
02:47:57,35-39,Men,1999
02:47:58,30-34,Men,1999
02:47:59,30-34,Men,1999
02:48:04,25-29,Men,1999
02:48:08,20-24,Men,1999
02:48:09,30-34,Men,1999
02:48:13,30-34,Men,1999
02:48:26,35-39,Men,1999
02:48:28,30-34,Men,1999
02:48:33,35-39,Men,1999
02:48:33,45-49,Men,1999
02:48:34,40-44,Men,1999
02:48:35,30-34,Men,1999
02:48:37,35-39,Men,1999
02:48:41,30-34,Men,1999
02:48:42,35-39,Men,1999
02:48:43,25-29,Men,1999
02:48:45,30-34,Men,1999
02:48:45,50-54,Men,1999
02:48:47,30-34,Men,1999
02:48:48,25-29,Men,1999
02:48:49,30-34,Men,1999
02:48:54,25-29,Men,1999
02:48:58,35-39,Men,1999
02:49:00,40-44,Men,1999
02:49:00,30-34,Men,1999
02:49:03,30-34,Men,1999
02:49:04,40-44,Men,1999
02:49:04,25-29,Men,1999
02:49:05,40-44,Men,1999
02:49:06,35-39,Men,1999
02:49:07,40-44,Men,1999
02:49:07,40-44,Men,1999
02:49:09,25-29,Men,1999
02:49:11,25-29,Men,1999
02:49:11,45-49,Men,1999
02:49:13,35-39,Men,1999
02:49:17,45-49,Men,1999
02:49:19,30-34,Men,1999
02:49:20,45-49,Men,1999
02:49:21,30-34,Men,1999
02:49:23,40-44,Men,1999
02:49:30,30-34,Men,1999
02:49:34,20-24,Men,1999
02:49:36,25-29,Men,1999
02:49:37,25-29,Men,1999
02:49:39,40-44,Men,1999
02:49:41,30-34,Men,1999
02:49:41,25-29,Men,1999
02:49:41,25-29,Men,1999
02:49:43,35-39,Men,1999
02:49:43,50-54,Men,1999
02:49:45,40-44,Men,1999
02:49:49,35-39,Men,1999
02:49:51,35-39,Men,1999
02:49:56,25-29,Men,1999
02:49:57,35-39,Men,1999
