time,age,gender,year
02:22:03,25-29,Women,2012
02:22:04,30-34,Women,2012
02:22:41,25-29,Women,2012
02:23:22,25-29,Women,2012
02:26:09,20-24,Women,2012
02:27:17,30-34,Women,2012
02:32:11,35-39,Women,2012
02:32:42,30-34,Women,2012
02:37:18,25-29,Women,2012
02:41:29,25-29,Women,2012
02:42:08,35-39,Women,2012
02:43:37,25-29,Women,2012
02:43:52,25-29,Women,2012
02:44:25,30-34,Women,2012
02:46:53,30-34,Women,2012
02:47:11,30-34,Women,2012
02:47:25,35-39,Women,2012
02:47:56,25-29,Women,2012
02:49:02,40-44,Women,2012
02:51:00,30-34,Women,2012
02:51:13,25-29,Women,2012
02:51:21,30-34,Women,2012
02:51:55,30-34,Women,2012
02:52:07,30-34,Women,2012
02:52:12,25-29,Women,2012
02:52:17,20-24,Women,2012
02:52:22,30-34,Women,2012
02:52:29,25-29,Women,2012
02:52:45,30-34,Women,2012
02:52:46,30-34,Women,2012
02:52:53,30-34,Women,2012
02:54:17,25-29,Women,2012
02:54:32,20-24,Women,2012
02:54:56,20-24,Women,2012
02:55:02,30-34,Women,2012
02:55:30,20-24,Women,2012
02:55:33,25-29,Women,2012
02:55:39,35-39,Women,2012
02:56:04,55-59,Women,2012
02:56:12,25-29,Women,2012
02:56:13,25-29,Women,2012
02:56:14,25-29,Women,2012
02:56:35,35-39,Women,2012
02:56:53,40-44,Women,2012
02:56:55,25-29,Women,2012
02:57:13,20-24,Women,2012
02:57:25,25-29,Women,2012
02:57:26,40-44,Women,2012
02:57:45,40-44,Women,2012
02:57:49,40-44,Women,2012
02:57:57,25-29,Women,2012
02:58:00,25-29,Women,2012
02:58:07,20-24,Women,2012
02:58:21,35-39,Women,2012
02:58:22,40-44,Women,2012
02:58:25,35-39,Women,2012
02:58:33,25-29,Women,2012
02:58:38,35-39,Women,2012
02:58:41,25-29,Women,2012
02:58:46,20-24,Women,2012
02:58:54,35-39,Women,2012
02:58:54,20-24,Women,2012
02:58:57,35-39,Women,2012
02:59:14,25-29,Women,2012
02:59:19,30-34,Women,2012
02:59:23,25-29,Women,2012
02:59:31,25-29,Women,2012
02:59:33,20-24,Women,2012
02:59:37,30-34,Women,2012
02:59:37,20-24,Women,2012
02:59:39,25-29,Women,2012
02:59:52,45-49,Women,2012
03:00:05,20-24,Women,2012
03:00:52,20-24,Women,2012
03:01:04,20-24,Women,2012
03:01:06,40-44,Women,2012
03:01:13,30-34,Women,2012
03:01:37,45-49,Women,2012
03:01:41,45-49,Women,2012
03:01:42,25-29,Women,2012
03:01:42,25-29,Women,2012
03:01:59,25-29,Women,2012
03:02:24,35-39,Women,2012
03:02:41,40-44,Women,2012
03:02:44,40-44,Women,2012
03:02:52,40-44,Women,2012
03:02:52,35-39,Women,2012
03:02:54,20-24,Women,2012
03:03:00,40-44,Women,2012
03:03:05,20-24,Women,2012
03:03:07,30-34,Women,2012
03:03:27,30-34,Women,2012
03:03:42,25-29,Women,2012
03:03:42,35-39,Women,2012
03:03:43,25-29,Women,2012
03:03:46,20-24,Women,2012
03:03:52,30-34,Women,2012
03:04:07,35-39,Women,2012
03:04:14,35-39,Women,2012
03:04:27,30-34,Women,2012
03:04:56,45-49,Women,2012
03:05:00,20-24,Women,2012
03:05:11,20-24,Women,2012
03:05:24,30-34,Women,2012
03:05:31,25-29,Women,2012
03:05:36,50-54,Women,2012
03:05:48,35-39,Women,2012
03:06:01,25-29,Women,2012
03:06:01,45-49,Women,2012
03:06:15,30-34,Women,2012
03:06:19,25-29,Women,2012
03:06:41,25-29,Women,2012
03:06:42,30-34,Women,2012
03:06:46,35-39,Women,2012
03:06:47,30-34,Women,2012
03:06:50,35-39,Women,2012
03:06:53,25-29,Women,2012
03:07:00,25-29,Women,2012
03:07:03,25-29,Women,2012
03:07:07,25-29,Women,2012
03:07:21,20-24,Women,2012
03:07:25,20-24,Women,2012
03:07:26,25-29,Women,2012
03:07:28,40-44,Women,2012
03:07:43,35-39,Women,2012
03:07:44,50-54,Women,2012
03:07:46,35-39,Women,2012
03:07:51,20-24,Women,2012
03:08:02,30-34,Women,2012
03:08:04,35-39,Women,2012
03:08:18,30-34,Women,2012
03:08:30,50-54,Women,2012
03:08:39,20-24,Women,2012
03:08:39,45-49,Women,2012
03:08:54,25-29,Women,2012
03:08:55,40-44,Women,2012
03:08:56,35-39,Women,2012
03:08:56,25-29,Women,2012
03:09:02,20-24,Women,2012
03:09:03,55-59,Women,2012
03:09:10,25-29,Women,2012
03:09:12,25-29,Women,2012
03:09:12,25-29,Women,2012
03:09:17,30-34,Women,2012
03:09:19,30-34,Women,2012
03:09:20,25-29,Women,2012
03:09:25,35-39,Women,2012
03:09:27,35-39,Women,2012
03:09:31,30-34,Women,2012
03:09:31,25-29,Women,2012
03:09:38,35-39,Women,2012
03:09:40,35-39,Women,2012
03:09:45,25-29,Women,2012
03:09:46,30-34,Women,2012
03:09:47,25-29,Women,2012
03:09:57,40-44,Women,2012
03:09:57,25-29,Women,2012
03:10:01,40-44,Women,2012
03:10:02,30-34,Women,2012
03:10:07,30-34,Women,2012
03:10:08,25-29,Women,2012
03:10:10,20-24,Women,2012
03:10:21,40-44,Women,2012
03:10:55,20-24,Women,2012
03:10:56,30-34,Women,2012
03:10:56,30-34,Women,2012
03:11:04,20-24,Women,2012
03:11:10,30-34,Women,2012
03:11:11,35-39,Women,2012
03:11:14,35-39,Women,2012
03:11:20,25-29,Women,2012
03:11:28,25-29,Women,2012
03:11:31,25-29,Women,2012
03:11:45,40-44,Women,2012
03:11:53,40-44,Women,2012
03:11:57,35-39,Women,2012
03:12:07,35-39,Women,2012
03:12:16,35-39,Women,2012
03:12:30,40-44,Women,2012
03:12:37,40-44,Women,2012
03:12:37,40-44,Women,2012
03:12:38,35-39,Women,2012
03:12:38,35-39,Women,2012
03:12:40,35-39,Women,2012
03:12:40,20-24,Women,2012
03:12:59,30-34,Women,2012
03:13:05,25-29,Women,2012
03:13:09,20-24,Women,2012
03:13:13,20-24,Women,2012
03:13:14,20-24,Women,2012
03:13:14,25-29,Women,2012
03:13:16,30-34,Women,2012
03:13:23,30-34,Women,2012
03:13:32,20-24,Women,2012
03:13:35,30-34,Women,2012
03:13:37,50-54,Women,2012
03:13:37,25-29,Women,2012
03:13:38,35-39,Women,2012
03:13:38,25-29,Women,2012
03:13:40,20-24,Women,2012
03:13:46,25-29,Women,2012
03:13:52,30-34,Women,2012
03:13:53,20-24,Women,2012
03:14:00,30-34,Women,2012
03:14:08,25-29,Women,2012
03:14:12,25-29,Women,2012
03:14:16,25-29,Women,2012
