time,age,gender,year
02:08:52,20-24,Men,2001
02:08:56,30-34,Men,2001
02:09:00,30-34,Men,2001
02:09:26,30-34,Men,2001
02:09:35,25-29,Men,2001
02:11:40,35-39,Men,2001
02:11:44,30-34,Men,2001
02:11:54,30-34,Men,2001
02:12:25,25-29,Men,2001
02:12:44,30-34,Men,2001
02:12:49,35-39,Men,2001
02:13:03,25-29,Men,2001
02:13:17,25-29,Men,2001
02:14:51,20-24,Men,2001
02:15:05,25-29,Men,2001
02:15:09,30-34,Men,2001
02:15:35,30-34,Men,2001
02:15:42,25-29,Men,2001
02:15:52,30-34,Men,2001
02:18:04,25-29,Men,2001
02:18:20,35-39,Men,2001
02:18:34,40-44,Men,2001
02:18:39,30-34,Men,2001
02:18:43,20-24,Men,2001
02:18:45,35-39,Men,2001
02:20:15,25-29,Men,2001
02:21:10,30-34,Men,2001
02:23:24,25-29,Men,2001
02:23:57,30-34,Men,2001
02:24:44,25-29,Men,2001
02:25:04,25-29,Men,2001
02:25:19,35-39,Men,2001
02:27:25,25-29,Men,2001
02:28:09,40-44,Men,2001
02:28:25,25-29,Men,2001
02:28:33,25-29,Men,2001
02:28:57,35-39,Men,2001
02:29:07,25-29,Men,2001
02:29:07,40-44,Men,2001
02:29:16,25-29,Men,2001
02:29:18,25-29,Men,2001
02:29:25,35-39,Men,2001
02:29:29,25-29,Men,2001
02:29:33,35-39,Men,2001
02:29:34,30-34,Men,2001
02:29:58,25-29,Men,2001
02:30:12,30-34,Men,2001
02:30:14,35-39,Men,2001
02:30:22,25-29,Men,2001
02:30:22,30-34,Men,2001
02:30:33,25-29,Men,2001
02:30:48,35-39,Men,2001
02:30:49,35-39,Men,2001
02:30:51,30-34,Men,2001
02:30:58,30-34,Men,2001
02:31:04,30-34,Men,2001
02:31:15,20-24,Men,2001
02:31:55,30-34,Men,2001
02:32:04,20-24,Men,2001
02:32:22,25-29,Men,2001
02:32:29,25-29,Men,2001
02:32:37,30-34,Men,2001
02:32:41,40-44,Men,2001
02:32:44,30-34,Men,2001
02:32:57,30-34,Men,2001
02:33:04,25-29,Men,2001
02:33:12,25-29,Men,2001
02:33:30,30-34,Men,2001
02:33:35,30-34,Men,2001
02:33:50,25-29,Men,2001
02:33:50,20-24,Men,2001
02:33:57,25-29,Men,2001
02:34:17,30-34,Men,2001
02:34:17,30-34,Men,2001
02:34:23,20-24,Men,2001
02:34:29,30-34,Men,2001
02:34:47,25-29,Men,2001
02:35:05,20-24,Men,2001
02:35:13,30-34,Men,2001
02:35:13,25-29,Men,2001
02:35:17,35-39,Men,2001
02:35:23,20-24,Men,2001
02:35:49,20-24,Men,2001
02:36:08,35-39,Men,2001
02:36:12,30-34,Men,2001
02:36:14,40-44,Men,2001
02:36:28,30-34,Men,2001
02:36:38,25-29,Men,2001
02:36:46,25-29,Men,2001
02:36:59,35-39,Men,2001
02:37:00,30-34,Men,2001
02:37:03,25-29,Men,2001
02:37:14,30-34,Men,2001
02:37:18,35-39,Men,2001
02:37:20,20-24,Men,2001
02:37:23,20-24,Men,2001
02:37:37,20-24,Men,2001
02:37:44,40-44,Men,2001
02:37:53,40-44,Men,2001
02:37:59,25-29,Men,2001
02:38:04,30-34,Men,2001
02:38:15,35-39,Men,2001
02:38:24,30-34,Men,2001
02:38:28,50-54,Men,2001
02:38:36,25-29,Men,2001
02:38:38,20-24,Men,2001
02:38:39,20-24,Men,2001
02:38:40,35-39,Men,2001
02:38:42,25-29,Men,2001
02:38:56,40-44,Men,2001
02:39:27,25-29,Men,2001
02:39:28,20-24,Men,2001
02:39:28,20-24,Men,2001
02:39:31,20-24,Men,2001
02:39:39,25-29,Men,2001
02:39:39,25-29,Men,2001
02:39:46,25-29,Men,2001
02:39:46,25-29,Men,2001
02:39:48,30-34,Men,2001
02:39:52,30-34,Men,2001
02:39:53,35-39,Men,2001
02:39:57,35-39,Men,2001
02:39:58,30-34,Men,2001
02:40:03,30-34,Men,2001
02:40:05,25-29,Men,2001
02:40:06,30-34,Men,2001
02:40:18,25-29,Men,2001
02:40:20,35-39,Men,2001
02:40:23,25-29,Men,2001
02:40:25,30-34,Men,2001
02:40:27,30-34,Men,2001
02:40:29,30-34,Men,2001
02:40:36,35-39,Men,2001
02:40:37,40-44,Men,2001
02:40:40,30-34,Men,2001
02:40:42,30-34,Men,2001
02:40:48,30-34,Men,2001
02:41:03,20-24,Men,2001
02:41:22,40-44,Men,2001
02:41:31,20-24,Men,2001
02:41:32,20-24,Men,2001
02:41:34,25-29,Men,2001
02:41:35,25-29,Men,2001
02:41:37,20-24,Men,2001
02:41:47,40-44,Men,2001
02:41:55,35-39,Men,2001
02:42:08,25-29,Men,2001
02:42:09,25-29,Men,2001
02:42:14,20-24,Men,2001
02:42:26,35-39,Men,2001
02:42:29,35-39,Men,2001
02:42:41,35-39,Men,2001
02:42:43,30-34,Men,2001
02:42:44,30-34,Men,2001
02:42:45,20-24,Men,2001
02:42:48,30-34,Men,2001
02:42:50,45-49,Men,2001
02:42:54,25-29,Men,2001
02:42:54,35-39,Men,2001
02:42:56,30-34,Men,2001
02:43:04,25-29,Men,2001
02:43:08,35-39,Men,2001
02:43:16,35-39,Men,2001
02:43:18,30-34,Men,2001
02:43:22,30-34,Men,2001
02:43:23,25-29,Men,2001
02:43:24,30-34,Men,2001
02:43:24,30-34,Men,2001
02:43:27,25-29,Men,2001
02:43:44,25-29,Men,2001
02:43:46,30-34,Men,2001
02:43:47,25-29,Men,2001
02:43:50,20-24,Men,2001
02:43:59,35-39,Men,2001
02:44:03,40-44,Men,2001
02:44:09,35-39,Men,2001
02:44:10,30-34,Men,2001
02:44:16,35-39,Men,2001
02:44:18,30-34,Men,2001
02:44:19,30-34,Men,2001
02:44:33,20-24,Men,2001
02:44:34,30-34,Men,2001
02:44:37,30-34,Men,2001
02:44:37,30-34,Men,2001
02:44:40,30-34,Men,2001
02:44:46,25-29,Men,2001
02:44:48,30-34,Men,2001
02:44:48,25-29,Men,2001
02:44:49,35-39,Men,2001
02:44:50,25-29,Men,2001
02:44:52,40-44,Men,2001
02:45:04,35-39,Men,2001
02:45:16,40-44,Men,2001
02:45:20,20-24,Men,2001
02:45:21,45-49,Men,2001
02:45:23,30-34,Men,2001
02:45:24,35-39,Men,2001
02:45:26,40-44,Men,2001
02:45:33,40-44,Men,2001
02:45:33,25-29,Men,2001
02:45:41,30-34,Men,2001
02:45:53,25-29,Men,2001
02:45:56,40-44,Men,2001
02:45:57,25-29,Men,2001
02:45:58,20-24,Men,2001
02:46:01,25-29,Men,2001
02:46:09,50-54,Men,2001
02:46:10,30-34,Men,2001
02:46:11,20-24,Men,2001
02:46:15,30-34,Men,2001
02:46:21,25-29,Men,2001
02:46:31,30-34,Men,2001
02:46:32,40-44,Men,2001
02:46:33,25-29,Men,2001
02:46:39,45-49,Men,2001
02:46:39,35-39,Men,2001
02:46:39,20-24,Men,2001
02:46:50,30-34,Men,2001
02:46:52,30-34,Men,2001
02:46:52,35-39,Men,2001
02:46:54,40-44,Men,2001
02:46:57,45-49,Men,2001
02:46:58,30-34,Men,2001
02:47:00,25-29,Men,2001
02:47:00,40-44,Men,2001
02:47:07,30-34,Men,2001
02:47:08,30-34,Men,2001
02:47:15,20-24,Men,2001
02:47:15,45-49,Men,2001
02:47:19,19 and under,Men,2001
02:47:20,35-39,Men,2001
02:47:28,30-34,Men,2001
02:47:39,40-44,Men,2001
02:47:45,30-34,Men,2001
02:47:46,40-44,Men,2001
02:47:49,25-29,Men,2001
02:47:55,35-39,Men,2001
02:47:57,35-39,Men,2001
02:47:58,30-34,Men,2001
02:48:02,30-34,Men,2001
02:48:06,30-34,Men,2001
