groups,times
M22,2:27:52
M22,2:32:51
M37,2:33:42
M23,2:33:55
M22,2:37:22
M33,2:39:17
M48,2:42:34
M25,2:42:38
M27,2:43:36
M25,2:43:38
M35,2:44:20
M32,2:44:46
M30,2:45:01
M26,2:45:31
M22,2:45:53
M22,2:47:37
M19,2:47:39
M52,2:47:48
M25,2:47:57
M23,2:48:15
M27,2:48:48
M28,2:49:16
M28,2:50:20
M24,2:50:38
M21,2:50:54
M31,2:51:03
M26,2:51:32
M35,2:52:17
M20,2:52:50
M38,2:54:46
M33,2:55:10
M17,2:55:28
M28,2:56:15
M29,2:56:20
M35,2:56:57
M43,2:57:03
M46,2:57:20
M42,2:57:22
M28,2:58:34
M40,2:58:57
M35,2:59:30
M35,3:00:19
M35,3:01:47
M35,3:02:09
M35,3:02:20
M35,3:02:37
M35,3:03:06
M35,3:04:13
M35,3:04:22
M35,3:04:36
M35,3:05:10
M35,3:05:21
M35,3:05:30
M35,3:05:33
M35,3:05:34
M35,3:05:46
M35,3:06:23
M35,3:06:40
M35,3:07:16
M35,3:08:07
M35,3:08:12
M35,3:08:20
F33,3:08:41
M35,3:08:43
M46,3:08:52
M35,3:08:54
M35,3:08:56
M35,3:08:57
M35,3:09:00
M35,3:09:38
M35,3:11:10
M35,3:11:33
M35,3:12:15
M35,3:12:50
M35,3:12:52
M35,3:13:25
M35,3:13:26
M35,3:14:00
M35,3:14:39
M35,3:15:00
M35,3:15:13
M35,3:16:17
M35,3:16:29
M35,3:16:29
M14,3:16:36
M35,3:16:37
M35,3:16:59
M35,3:17:00
M35,3:17:20
M35,3:18:00
M35,3:19:20
F35,3:29:33
