groups,times
M24,2:19:27
M26,2:25:20
M27,2:26:03
M24,2:28:38
M31,2:28:40
M28,2:28:52
M26,2:29:46
M29,2:30:24
M19,2:33:06
M25,2:33:27
M24,2:34:47
M39,2:35:44
M33,2:36:27
M29,2:37:21
M23,2:37:40
M30,2:39:57
M34,2:40:07
M30,2:41:02
M25,2:41:32
M37,2:42:54
M22,2:42:57
M23,2:44:17
M22,2:45:05
M20,2:45:36
M43,2:46:08
F20,2:46:14
M35,2:46:48
M27,2:47:00
M28,2:47:15
M29,2:47:20
M48,2:47:26
M35,2:47:54
M39,2:48:51
M27,2:50:15
M25,2:50:51
M24,2:50:59
M42,2:51:13
M28,2:51:16
M34,2:51:17
M21,2:51:36
M21,2:51:55
M44,2:52:27
F40,2:53:02
M32,2:53:33
M36,2:53:39
M37,2:54:50
M30,2:55:02
M28,2:55:11
M31,2:55:41
M42,2:55:56
M28,2:56:18
M25,2:56:24
M37,2:56:38
M41,2:56:52
M33,2:56:59
M34,2:57:08
M18,2:57:09
M22,2:57:14
F30,2:57:22
M33,2:57:32
M27,2:57:36
M43,2:57:40
M27,2:57:45
M23,2:57:50
M30,2:57:59
M32,2:58:15
M43,2:58:19
F35,2:58:30
M36,2:58:32
M47,2:58:41
M35,2:58:46
M30,2:58:59
M32,2:59:00
F25,2:59:19
M23,2:59:35
M35,2:59:36
M32,3:00:26
M34,3:01:23
F14,3:01:41
M24,3:02:04
M21,3:02:20
M21,3:02:25
M52,3:02:27
F28,3:02:57
M31,3:03:05
M45,3:03:36
M35,3:03:56
M29,3:04:10
M29,3:05:46
M31,3:06:37
F26,3:06:53
M31,3:07:11
M26,3:07:17
M51,3:07:22
M26,3:07:27
F21,3:07:27
M40,3:07:53
M32,3:07:58
M43,3:08:05
M33,3:08:33
M19,3:08:40
M49,3:09:08
M48,3:09:15
M42,3:10:23
M34,3:10:38
M25,3:10:52
M37,3:11:23
M26,3:11:23
M35,3:11:25
M24,3:11:27
M46,3:11:51
F21,3:12:01
M33,3:12:58
M28,3:13:05
M34,3:13:20
M24,3:13:45
M20,3:13:45
M16,3:14:06
M32,3:14:07
M29,3:14:27
M35,3:14:30
M42,3:14:49
M40,3:14:57
M41,3:15:02
M49,3:15:03
M27,3:15:48
F27,3:16:01
M27,3:16:46
M35,3:17:18
F17,3:17:24
M35,3:17:26
M25,3:17:32
F21,3:17:43
M51,3:18:06
M34,3:18:14
M20,3:18:15
M19,3:18:34
M33,3:18:35
M36,3:18:54
M27,3:19:22
M18,3:20:25
M44,3:20:29
M16,3:20:42
M24,3:20:48
M17,3:20:57
M46,3:21:00
M20,3:21:06
M16,3:21:15
M39,3:21:28
M29,3:21:46
M28,3:22:00
M35,3:22:28
M40,3:22:46
M44,3:22:57
M25,3:23:35
M37,3:23:44
M39,3:24:12
M35,3:24:26
M28,3:24:26
M55,3:24:28
M42,3:24:38
M35,3:24:51
M17,3:24:53
M53,3:25:01
M53,3:25:07
M40,3:25:33
M42,3:26:15
M56,3:26:34
M32,3:26:52
M51,3:26:56
M22,3:27:09
F28,3:27:14
M32,3:27:16
M38,3:27:26
M19,3:27:45
M39,3:28:10
M21,3:28:16
M43,3:28:22
M39,3:28:26
M47,3:28:27
M43,3:29:31
M40,3:29:34
M61,3:29:36
M63,3:30:30
M53,3:30:51
M35,3:30:58
M35,3:31:26
M44,3:31:39
M50,3:31:51
M48,3:32:44
F18,3:33:14
M33,3:33:17
F16,3:33:48
