time,age,gender,year
02:06:25,25-29,Men,2008
02:07:37,30-34,Men,2008
02:11:39,30-34,Men,2008
02:13:53,25-29,Men,2008
02:15:10,35-39,Men,2008
02:15:36,20-24,Men,2008
02:16:20,30-34,Men,2008
02:16:41,30-34,Men,2008
02:17:33,30-34,Men,2008
02:18:48,25-29,Men,2008
02:20:29,20-24,Men,2008
02:20:43,20-24,Men,2008
02:20:48,25-29,Men,2008
02:22:01,25-29,Men,2008
02:22:17,25-29,Men,2008
02:23:10,25-29,Men,2008
02:23:22,30-34,Men,2008
02:23:50,20-24,Men,2008
02:24:22,20-24,Men,2008
02:25:12,20-24,Men,2008
02:27:03,25-29,Men,2008
02:27:16,30-34,Men,2008
02:27:26,25-29,Men,2008
02:27:35,30-34,Men,2008
02:28:08,25-29,Men,2008
02:28:11,25-29,Men,2008
02:28:21,25-29,Men,2008
02:28:58,25-29,Men,2008
02:29:19,30-34,Men,2008
02:29:46,35-39,Men,2008
02:30:16,30-34,Men,2008
02:30:18,35-39,Men,2008
02:30:44,30-34,Men,2008
02:31:01,25-29,Men,2008
02:31:24,35-39,Men,2008
02:31:31,35-39,Men,2008
02:31:33,25-29,Men,2008
02:31:45,25-29,Men,2008
02:31:54,30-34,Men,2008
02:31:57,25-29,Men,2008
02:32:15,20-24,Men,2008
02:32:40,20-24,Men,2008
02:33:01,30-34,Men,2008
02:33:06,35-39,Men,2008
02:33:16,30-34,Men,2008
02:33:20,40-44,Men,2008
02:33:54,30-34,Men,2008
02:34:24,25-29,Men,2008
02:34:58,20-24,Men,2008
02:35:24,30-34,Men,2008
02:35:27,30-34,Men,2008
02:35:36,20-24,Men,2008
02:35:42,25-29,Men,2008
02:35:50,40-44,Men,2008
02:35:58,30-34,Men,2008
02:35:59,20-24,Men,2008
02:36:24,35-39,Men,2008
02:36:26,45-49,Men,2008
02:36:34,40-44,Men,2008
02:36:37,25-29,Men,2008
02:36:41,20-24,Men,2008
02:36:46,25-29,Men,2008
02:36:53,45-49,Men,2008
02:37:00,30-34,Men,2008
02:37:08,35-39,Men,2008
02:37:29,25-29,Men,2008
02:37:42,20-24,Men,2008
02:37:44,30-34,Men,2008
02:37:47,25-29,Men,2008
02:38:07,25-29,Men,2008
02:38:29,20-24,Men,2008
02:38:41,20-24,Men,2008
02:38:42,30-34,Men,2008
02:38:48,20-24,Men,2008
02:38:59,25-29,Men,2008
02:39:10,25-29,Men,2008
02:39:14,30-34,Men,2008
02:39:15,40-44,Men,2008
02:39:38,30-34,Men,2008
02:39:38,20-24,Men,2008
02:39:39,30-34,Men,2008
02:39:40,35-39,Men,2008
02:39:40,25-29,Men,2008
02:39:42,20-24,Men,2008
02:39:47,25-29,Men,2008
02:40:05,30-34,Men,2008
02:40:10,35-39,Men,2008
02:40:18,25-29,Men,2008
02:40:32,30-34,Men,2008
02:40:34,20-24,Men,2008
02:40:50,35-39,Men,2008
02:40:53,20-24,Men,2008
02:40:58,35-39,Men,2008
02:41:02,25-29,Men,2008
02:41:07,35-39,Men,2008
02:41:22,20-24,Men,2008
02:41:25,35-39,Men,2008
02:41:33,30-34,Men,2008
02:41:50,30-34,Men,2008
02:42:15,25-29,Men,2008
02:42:19,30-34,Men,2008
02:42:19,45-49,Men,2008
02:42:23,30-34,Men,2008
02:42:26,35-39,Men,2008
02:42:30,25-29,Men,2008
02:42:31,25-29,Men,2008
02:42:33,25-29,Men,2008
02:42:33,25-29,Men,2008
02:42:59,20-24,Men,2008
02:43:02,25-29,Men,2008
02:43:09,25-29,Men,2008
02:43:09,25-29,Men,2008
02:43:12,30-34,Men,2008
02:43:30,25-29,Men,2008
02:43:48,20-24,Men,2008
02:43:49,20-24,Men,2008
02:43:53,25-29,Men,2008
02:43:56,20-24,Men,2008
02:44:05,20-24,Men,2008
02:44:06,30-34,Men,2008
02:44:07,25-29,Men,2008
02:44:13,20-24,Men,2008
02:44:15,35-39,Men,2008
02:44:37,30-34,Men,2008
02:44:38,25-29,Men,2008
02:44:44,30-34,Men,2008
02:44:48,25-29,Men,2008
02:44:52,35-39,Men,2008
02:45:07,25-29,Men,2008
02:45:22,30-34,Men,2008
02:45:33,30-34,Men,2008
02:45:35,30-34,Men,2008
02:45:38,25-29,Men,2008
02:45:39,25-29,Men,2008
02:45:47,25-29,Men,2008
02:45:52,20-24,Men,2008
02:45:58,30-34,Men,2008
02:46:01,40-44,Men,2008
02:46:09,30-34,Men,2008
02:46:15,25-29,Men,2008
02:46:22,30-34,Men,2008
02:46:30,40-44,Men,2008
02:46:38,40-44,Men,2008
