time,age,gender,year
02:07:01,25-29,Men,2000
02:07:29,25-29,Men,2000
02:07:47,35-39,Men,2000
02:08:02,30-34,Men,2000
02:08:23,25-29,Men,2000
02:11:57,25-29,Men,2000
02:12:00,30-34,Men,2000
02:12:42,25-29,Men,2000
02:13:02,25-29,Men,2000
02:13:55,25-29,Men,2000
02:14:05,25-29,Men,2000
02:14:49,25-29,Men,2000
02:15:08,30-34,Men,2000
02:15:48,30-34,Men,2000
02:15:59,20-24,Men,2000
02:16:13,25-29,Men,2000
02:17:09,25-29,Men,2000
02:17:15,25-29,Men,2000
02:17:32,25-29,Men,2000
02:18:29,30-34,Men,2000
02:19:00,20-24,Men,2000
02:20:30,25-29,Men,2000
02:22:24,25-29,Men,2000
02:24:45,35-39,Men,2000
02:25:08,25-29,Men,2000
02:26:27,30-34,Men,2000
02:26:44,25-29,Men,2000
02:27:25,30-34,Men,2000
02:27:28,25-29,Men,2000
02:27:47,25-29,Men,2000
02:27:59,30-34,Men,2000
02:28:31,25-29,Men,2000
02:28:35,30-34,Men,2000
02:28:45,25-29,Men,2000
02:28:46,20-24,Men,2000
02:28:56,25-29,Men,2000
02:29:13,25-29,Men,2000
02:29:17,30-34,Men,2000
02:29:18,25-29,Men,2000
02:29:29,25-29,Men,2000
02:30:21,30-34,Men,2000
02:30:37,25-29,Men,2000
02:30:44,25-29,Men,2000
02:30:45,20-24,Men,2000
02:31:24,30-34,Men,2000
02:31:30,30-34,Men,2000
02:31:45,35-39,Men,2000
02:31:47,25-29,Men,2000
02:32:05,50-54,Men,2000
02:32:10,35-39,Men,2000
02:32:22,20-24,Men,2000
02:33:06,35-39,Men,2000
02:33:08,25-29,Men,2000
02:33:15,25-29,Men,2000
02:33:18,30-34,Men,2000
02:33:20,30-34,Men,2000
02:33:34,30-34,Men,2000
02:33:46,20-24,Men,2000
02:33:50,30-34,Men,2000
02:34:03,20-24,Men,2000
02:34:18,45-49,Men,2000
02:34:30,40-44,Men,2000
02:34:44,30-34,Men,2000
02:34:44,30-34,Men,2000
02:34:47,30-34,Men,2000
02:35:12,30-34,Men,2000
02:35:19,30-34,Men,2000
02:35:27,30-34,Men,2000
02:35:30,25-29,Men,2000
02:35:32,40-44,Men,2000
02:35:40,25-29,Men,2000
02:35:42,20-24,Men,2000
02:35:43,25-29,Men,2000
02:35:49,25-29,Men,2000
02:35:51,30-34,Men,2000
02:35:53,45-49,Men,2000
02:36:01,35-39,Men,2000
02:36:02,30-34,Men,2000
02:36:07,20-24,Men,2000
02:36:20,35-39,Men,2000
02:36:22,25-29,Men,2000
02:36:38,45-49,Men,2000
