groups,times
M29,2:11:28
M32,2:13:52
M31,2:13:52
M24,2:14:32
M26,2:15:16
M24,2:15:51
M35,2:16:25
M33,2:16:28
M24,2:16:48
M28,2:17:04
M23,2:17:07
M26,2:17:11
M28,2:17:46
M28,2:18:38
M23,2:18:46
M22,2:19:14
M28,2:19:33
M39,2:20:00
M29,2:20:17
M30,2:20:31
M27,2:20:41
M27,2:21:55
M30,2:22:12
M25,2:22:20
M26,2:22:29
M24,2:22:31
M23,2:22:50
M27,2:23:13
M30,2:23:27
M23,2:24:36
M23,2:24:54
M35,2:25:11
M32,2:25:50
M31,2:25:55
M30,2:26:12
M23,2:26:17
M29,2:26:51
M30,2:27:09
M23,2:27:14
M28,2:27:23
M41,2:27:25
M28,2:27:25
M29,2:27:33
M20,2:27:35
M25,2:27:48
M24,2:27:50
M23,2:27:54
M23,2:28:23
M23,2:28:32
M35,2:28:48
M27,2:28:59
M28,2:29:03
M21,2:29:20
M28,2:29:53
M24,2:29:59
M27,2:30:04
M27,2:30:20
M30,2:30:24
M29,2:30:24
M26,2:30:25
M34,2:30:47
M32,2:30:53
M40,2:31:03
M29,2:31:08
M25,2:31:09
M27,2:31:13
M24,2:31:28
M40,2:31:35
M31,2:31:50
M38,2:32:08
M28,2:32:20
M28,2:32:22
M31,2:32:29
M26,2:32:33
M29,2:32:36
M29,2:32:39
M23,2:32:40
M32,2:32:53
M24,2:33:07
M33,2:33:16
M28,2:33:26
M31,2:33:32
M26,2:33:50
M21,2:33:55
M27,2:33:57
M30,2:34:01
M34,2:34:04
M21,2:34:09
M25,2:34:22
M25,2:34:27
M42,2:34:31
M23,2:34:34
M26,2:34:36
M27,2:34:39
M26,2:34:43
M25,2:34:44
M23,2:34:46
M34,2:34:52
M22,2:35:03
M44,2:35:05
M53,2:35:07
M34,2:35:39
M31,2:35:42
M32,2:35:45
M30,2:35:57
M26,2:36:06
M35,2:36:46
M23,2:36:57
M34,2:37:04
M27,2:37:07
M23,2:37:13
M23,2:37:18
M34,2:37:23
M33,2:37:25
M38,2:37:30
M29,2:37:35
M20,2:37:46
M30,2:37:48
M30,2:37:50
M26,2:38:01
M19,2:38:02
M42,2:38:03
M40,2:38:07
M24,2:38:11
M41,2:38:16
M26,2:38:18
M33,2:38:28
M30,2:38:31
M33,2:38:35
M32,2:38:49
M38,2:38:50
M27,2:38:51
M26,2:39:07
M40,2:39:22
M26,2:39:23
M24,2:39:25
M27,2:39:31
M26,2:39:32
M38,2:39:34
M42,2:39:36
M23,2:39:37
M43,2:39:38
M41,2:39:41
M30,2:39:42
M22,2:39:50
M37,2:39:52
M24,2:39:53
M50,2:39:57
M28,2:40:00
M30,2:40:00
M21,2:40:01
M34,2:40:02
M26,2:40:19
M38,2:40:29
M37,2:40:33
M29,2:40:45
M43,2:40:47
M28,2:40:49
M25,2:40:51
M43,2:40:53
M28,2:41:02
M30,2:41:05
M29,2:41:07
M24,2:41:08
M44,2:41:18
M24,2:41:21
M23,2:41:26
M26,2:41:28
M31,2:41:31
M31,2:41:33
M21,2:41:34
M25,2:41:36
M21,2:41:37
M38,2:41:51
M28,2:41:55
M25,2:42:03
M26,2:42:04
M30,2:42:07
M31,2:42:14
M36,2:42:18
M23,2:42:23
M26,2:42:24
M31,2:42:24
M29,2:42:34
M29,2:42:35
M31,2:42:39
M28,2:42:44
M31,2:42:45
M24,2:42:46
M33,2:42:48
M35,2:42:50
M22,2:42:55
M30,2:43:01
M37,2:43:03
M41,2:43:04
M48,2:43:08
M20,2:43:09
F42,2:43:10
M25,2:43:14
M25,2:43:15
M25,2:43:16
M25,2:43:16
M23,2:43:20
M38,2:43:23
M30,2:43:23
M38,2:43:26
M39,2:43:27
M29,2:43:27
M26,2:43:28
M26,2:43:29
M26,2:43:32
M38,2:43:33
M36,2:43:38
M18,2:43:40
M31,2:43:40
M31,2:43:41
M45,2:43:45
M19,2:43:46
M32,2:43:47
M32,2:43:55
M29,2:43:57
M24,2:44:02
M42,2:44:03
M24,2:44:04
M35,2:44:04
M30,2:44:05
M25,2:44:08
M23,2:44:09
M39,2:44:11
M22,2:44:14
M41,2:44:19
M33,2:44:21
M35,2:44:23
M19,2:44:28
M21,2:44:32
M24,2:44:35
M36,2:44:41
M27,2:44:41
M31,2:44:47
M37,2:44:48
M36,2:44:55
M30,2:44:59
M30,2:45:01
M39,2:45:03
M24,2:45:05
M26,2:45:07
M34,2:45:09
M41,2:45:10
M24,2:45:18
M38,2:45:24
M36,2:45:26
M27,2:45:26
M37,2:45:35
M21,2:45:37
M27,2:45:38
M30,2:45:43
M30,2:45:43
M29,2:45:46
M29,2:45:48
M35,2:45:54
M37,2:45:54
M30,2:45:56
M44,2:45:57
M40,2:45:57
M31,2:45:58
M36,2:45:59
M40,2:46:00
M27,2:46:01
M40,2:46:02
F22,2:46:03
M24,2:46:04
M44,2:46:14
M27,2:46:18
M43,2:46:30
M34,2:46:33
M25,2:46:40
M31,2:46:44
M41,2:46:50
M25,2:46:59
M42,2:47:00
M21,2:47:01
M31,2:47:02
M33,2:47:04
M37,2:47:07
M29,2:47:08
M25,2:47:09
M26,2:47:13
M27,2:47:15
M33,2:47:16
M39,2:47:16
M29,2:47:18
M30,2:47:18
M34,2:47:23
M30,2:47:23
M44,2:47:24
M31,2:47:25
M30,2:47:26
M19,2:47:26
M42,2:47:30
M33,2:47:32
M38,2:47:32
M37,2:47:37
M23,2:47:42
M30,2:47:49
M37,2:47:53
M42,2:47:55
M36,2:47:58
M23,2:47:59
M23,2:48:01
M32,2:48:02
M37,2:48:04
M25,2:48:13
M38,2:48:13
M34,2:48:13
M25,2:48:17
M30,2:48:18
M26,2:48:30
M18,2:48:33
M33,2:48:43
M25,2:48:44
M38,2:48:44
M23,2:48:47
M30,2:48:51
M38,2:48:52
M40,2:48:53
M42,2:48:54
M22,2:48:56
M34,2:48:57
M26,2:48:59
M34,2:48:59
M43,2:49:03
M28,2:49:12
M46,2:49:13
M32,2:49:14
M40,2:49:15
M39,2:49:15
M28,2:49:16
M28,2:49:25
M37,2:49:28
M29,2:49:28
M23,2:49:29
M31,2:49:32
M18,2:49:39
M19,2:49:45
M21,2:49:46
M27,2:49:47
M27,2:49:51
M31,2:49:52
M31,2:49:53
M24,2:49:55
M25,2:49:56
M30,2:49:57
M43,2:49:58
M47,2:50:01
M37,2:50:02
M30,2:50:02
M19,2:50:07
M37,2:50:08
M23,2:50:13
M24,2:50:13
M20,2:50:15
M23,2:50:16
M35,2:50:17
M23,2:50:18
M22,2:50:21
M40,2:50:29
M44,2:50:30
M28,2:50:31
M29,2:50:34
M21,2:50:35
M29,2:50:36
M17,2:50:37
M40,2:50:37
M27,2:50:37
M21,2:50:43
M34,2:50:45
M50,2:50:45
M38,2:50:49
M28,2:50:50
M30,2:50:51
M26,2:50:53
M25,2:50:54
M27,2:50:57
M34,2:51:00
M38,2:51:01
M35,2:51:02
M30,2:51:04
M35,2:51:07
M33,2:51:10
M34,2:51:10
M42,2:51:20
M34,2:51:23
M33,2:51:25
M17,2:51:31
M23,2:51:32
M32,2:51:32
M33,2:51:33
M22,2:51:34
M21,2:51:34
M32,2:51:36
M26,2:51:37
M36,2:51:38
M32,2:51:39
M31,2:51:40
M27,2:51:41
M43,2:51:44
M24,2:51:47
M30,2:51:48
M37,2:51:53
M41,2:51:53
M43,2:52:01
M34,2:52:07
M17,2:52:10
M28,2:52:13
M26,2:52:14
M30,2:52:15
M25,2:52:15
M27,2:52:17
M22,2:52:18
F32,2:52:19
M41,2:52:21
M34,2:52:23
M29,2:52:24
M29,2:52:24
M29,2:52:25
M31,2:52:25
M27,2:52:25
M22,2:52:31
F24,2:52:32
M35,2:52:35
M24,2:52:36
M40,2:52:39
M27,2:52:42
M34,2:52:49
M32,2:52:49
M46,2:52:50
M35,2:52:50
M30,2:52:52
M20,2:52:56
M37,2:52:57
M31,2:52:57
M35,2:53:00
M29,2:53:05
M27,2:53:07
M32,2:53:11
M27,2:53:11
M34,2:53:12
M34,2:53:13
M31,2:53:14
M32,2:53:15
M44,2:53:16
M41,2:53:26
M46,2:53:28
M29,2:53:30
M26,2:53:31
M26,2:53:32
M53,2:53:35
M34,2:53:35
M18,2:53:36
M34,2:53:43
M36,2:53:44
M33,2:53:47
M24,2:53:47
M22,2:53:48
M19,2:53:50
M31,2:53:51
M27,2:53:52
M23,2:53:55
M23,2:53:56
M42,2:53:57
M27,2:53:58
M26,2:53:59
M41,2:54:01
M31,2:54:01
M40,2:54:02
M23,2:54:03
M40,2:54:04
M33,2:54:04
M36,2:54:05
M35,2:54:08
M36,2:54:08
M26,2:54:11
M22,2:54:13
M34,2:54:16
M20,2:54:23
M32,2:54:23
M19,2:54:25
M30,2:54:27
M43,2:54:28
M30,2:54:30
M38,2:54:32
M37,2:54:33
M36,2:54:35
M26,2:54:36
M26,2:54:40
M36,2:54:44
M29,2:54:45
M24,2:54:48
M27,2:54:49
