groups,times
M32,2:26:30
M30,2:28:16
M25,2:32:18
M27,2:35:01
M26,2:35:59
M30,2:37:27
M30,2:37:31
M19,2:41:00
M24,2:44:29
M41,2:45:10
M28,2:46:45
M26,2:49:23
M26,2:49:44
M38,2:50:20
M37,2:51:50
M34,2:52:43
M35,2:53:29
M24,2:54:09
M28,2:54:38
M47,2:55:05
M34,2:55:14
M32,2:55:23
M19,2:55:42
M27,2:55:49
M26,2:55:52
M26,2:55:55
M31,2:56:03
M32,2:56:26
M26,2:56:32
M24,2:56:35
M45,2:56:38
M35,2:57:04
M27,2:57:30
M25,2:57:36
M40,2:58:03
M34,2:58:05
M29,2:59:20
M27,3:00:33
M54,3:00:45
M32,3:01:00
M27,3:01:53
M27,3:02:21
M32,3:02:32
M26,3:03:02
M25,3:03:23
M40,3:03:28
M38,3:04:04
M32,3:04:46
M32,3:06:15
M34,3:06:18
M35,3:06:31
M35,3:06:56
M36,3:07:03
M27,3:07:05
M35,3:07:06
M34,3:07:14
M20,3:07:18
M35,3:07:25
F27,3:07:29
M20,3:08:04
M34,3:09:13
M30,3:09:40
M31,3:10:10
M19,3:10:47
M44,3:10:52
M19,3:11:00
M28,3:11:11
M34,3:11:27
M44,3:11:53
M31,3:12:29
M33,3:12:58
M40,3:13:04
M40,3:13:10
M38,3:13:23
M33,3:13:36
M33,3:13:54
M45,3:14:06
M35,3:14:42
M19,3:15:16
M22,3:15:17
M29,3:15:27
M39,3:15:34
M23,3:16:19
M35,3:16:22
M44,3:16:53
M44,3:16:53
M41,3:17:22
M45,3:17:58
M31,3:19:19
M31,3:20:17
M38,3:21:03
M32,3:21:04
M42,3:21:22
M30,3:21:30
M23,3:21:42
M35,3:21:49
M33,3:22:15
M35,3:22:34
M23,3:23:09
M39,3:23:29
M60,3:23:44
M36,3:23:47
M39,3:23:51
M48,3:23:53
M23,3:24:09
M24,3:25:06
M39,3:25:09
M34,3:25:13
M30,3:25:33
M31,3:26:14
M52,3:26:23
M32,3:26:37
M41,3:26:46
M38,3:27:07
M47,3:27:10
M35,3:27:23
M54,3:27:49
M21,3:27:53
M18,3:27:54
M26,3:28:28
M30,3:28:30
M33,3:28:52
M47,3:29:00
M34,3:29:09
M42,3:29:31
M26,3:30:15
M35,3:30:20
M37,3:30:31
M44,3:30:53
M29,3:31:01
M34,3:31:10
M35,3:31:59
M31,3:32:12
M36,3:32:22
M26,3:32:42
M43,3:32:54
M36,3:33:10
M28,3:34:39
M25,3:34:42
M21,3:35:21
F31,3:36:18
M28,3:36:38
M22,3:37:39
M28,3:37:40
M20,3:37:49
M31,3:37:50
M48,3:37:53
M37,3:37:54
M30,3:38:38
M32,3:39:00
M50,3:39:01
M34,3:39:12
M44,3:40:13
M22,3:40:19
M24,3:44:07
M50,3:44:09
M23,3:44:25
M31,3:45:31
M37,3:45:55
M31,3:45:56
M31,3:46:36
M28,3:46:38
M34,3:47:06
M51,3:47:15
M44,3:47:40
M37,3:48:06
M42,3:48:18
M33,3:48:58
M41,3:50:20
M26,3:50:32
M34,3:50:46
M46,3:50:49
M22,3:51:09
M29,3:51:43
M47,3:52:28
M42,3:52:44
M23,3:53:46
M51,3:54:00
F19,3:55:06
M33,3:55:13
F39,3:55:49
M44,3:56:01
M28,3:56:37
M30,3:57:50
M21,3:59:13
M21,3:59:13
M51,3:59:20
M38,3:59:29
M31,3:59:44
M28,4:00:17
M35,4:00:31
M21,4:01:21
M31,4:01:40
M37,4:02:08
M22,4:02:20
M46,4:02:47
M28,4:02:48
F24,4:03:17
M27,4:04:40
M45,4:04:40
M23,4:05:40
M45,4:06:00
M26,4:06:08
M38,4:06:22
M25,4:06:30
M42,4:08:01
M17,4:10:00
M19,4:10:09
M28,4:11:28
M52,4:13:15
M29,4:13:22
M40,4:14:36
M28,4:14:36
M17,4:14:45
M32,4:15:19
M34,4:18:02
M33,4:18:22
M27,4:18:24
M16,4:19:48
M31,4:20:27
M51,4:20:42
F16,4:21:00
M42,4:21:53
M65,4:27:19
M25,4:27:48
F36,4:27:48
M38,4:28:55
F29,4:29:37
M43,4:30:46
M40,4:32:33
M36,4:34:33
M50,4:35:12
M51,4:36:21
M25,4:36:55
M29,4:40:55
M72,4:41:20
M50,4:42:08
M22,4:43:45
M33,4:46:50
M22,4:49:45
M33,4:52:13
M17,4:53:05
M29,4:54:50
M60,4:57:00
M35,4:57:50
M38,5:00:13
M31,5:00:34
M36,5:01:11
M21,5:02:17
M37,5:07:10
M46,5:07:41
M29,5:10:14
M28,5:13:10
M34,5:13:10
M33,5:13:10
M35,5:15:02
F16,5:18:17
M38,5:30:02
M36,5:58:10
