groups,times
M22,2:21:54
M31,2:23:38
M24,2:26:33
M26,2:27:26
M22,2:29:02
M27,2:29:14
M22,2:31:08
M36,2:32:01
M29,2:32:06
M39,2:32:31
M33,2:34:10
M18,2:36:38
M41,2:37:14
M22,2:37:47
M27,2:37:51
M33,2:39:20
M19,2:40:15
M28,2:40:38
M39,2:40:42
M22,2:41:01
M26,2:42:49
M23,2:42:54
M23,2:43:42
M21,2:43:49
M35,2:44:43
M28,2:45:01
M53,2:45:29
M40,2:45:59
M24,2:46:34
M27,2:47:23
M30,2:47:48
M34,2:48:08
M30,2:48:50
M31,2:49:20
M22,2:50:09
M25,2:50:29
M26,2:50:40
M44,2:50:45
M27,2:50:46
M26,2:52:03
M29,2:52:19
M33,2:53:35
M30,2:53:36
M24,2:53:36
M40,2:54:23
M23,2:54:27
M33,2:54:30
M27,2:55:54
M16,2:55:59
M31,2:56:05
M41,2:56:11
M26,2:56:38
F34,2:57:07
M35,2:57:30
M40,2:57:38
M26,2:57:50
M20,2:57:55
M30,2:57:59
M28,2:58:31
M26,3:00:45
M25,3:01:07
M39,3:02:36
M33,3:02:45
M33,3:02:55
M29,3:03:16
M25,3:03:20
M29,3:03:43
M32,3:03:59
M23,3:04:38
M31,3:04:43
M34,3:04:56
M31,3:05:06
M38,3:05:14
M35,3:05:23
M42,3:05:37
M33,3:05:40
M33,3:06:29
M33,3:06:53
M38,3:06:58
M30,3:07:01
M31,3:07:25
M41,3:07:35
M47,3:07:38
M31,3:07:43
M28,3:07:43
M34,3:08:16
M35,3:08:24
M23,3:08:28
M41,3:08:39
M44,3:09:16
M26,3:09:35
M33,3:10:03
M27,3:10:31
M32,3:10:48
M42,3:10:58
M24,3:11:02
M29,3:11:05
M31,3:11:24
M,3:13:35
M35,3:13:35
M38,3:15:29
F26,3:16:02
M32,3:20:00
F33,3:55:43
F30,4:23:37
