groups,times
M26,2:14:53
M27,2:15:36
M31,2:16:22
M24,2:16:35
M30,2:17:05
M28,2:17:11
M28,2:17:34
M27,2:17:42
M20,2:18:16
M25,2:18:27
M38,2:18:29
M29,2:19:12
M35,2:19:18
M26,2:20:09
M25,2:20:29
M26,2:20:38
M41,2:21:04
M33,2:21:09
M37,2:21:16
M27,2:21:39
M25,2:21:52
M32,2:22:01
M27,2:22:14
M29,2:22:57
M28,2:22:59
M25,2:23:29
M33,2:23:46
M37,2:23:58
M20,2:24:01
M30,2:24:29
M28,2:24:30
M29,2:24:53
M26,2:25:00
M35,2:25:17
M27,2:25:28
M30,2:25:43
M33,2:26:08
M27,2:26:28
M36,2:26:33
M29,2:26:46
M27,2:26:53
M30,2:26:54
M23,2:27:05
M31,2:27:19
M29,2:27:23
M45,2:27:33
M40,2:27:44
M23,2:28:02
M39,2:28:09
M23,2:28:16
M25,2:28:35
M29,2:28:56
M29,2:29:09
M23,2:29:13
M31,2:29:19
M24,2:29:29
F31,2:29:30
M29,2:29:45
M24,2:29:49
M25,2:29:51
M26,2:30:09
M33,2:30:16
M33,2:30:40
M28,2:30:40
M27,2:31:03
M25,2:31:48
M33,2:32:06
M34,2:32:25
M37,2:32:35
M26,2:32:39
M33,2:32:43
M31,2:32:52
M31,2:33:29
M21,2:33:38
M29,2:33:52
M26,2:33:54
F29,2:33:58
M24,2:33:58
M36,2:34:18
M26,2:34:19
M29,2:34:29
M21,2:34:30
M40,2:34:39
M21,2:34:42
M27,2:34:43
M28,2:34:52
M27,2:35:00
M22,2:35:07
M27,2:35:20
M36,2:35:26
M30,2:35:29
M27,2:35:43
M44,2:35:48
M33,2:35:54
M32,2:35:58
M34,2:36:16
M23,2:36:28
M30,2:36:31
M38,2:36:33
M25,2:36:39
M34,2:36:42
M25,2:36:43
M34,2:36:44
M24,2:36:50
M26,2:36:50
M35,2:37:14
M23,2:37:15
F25,2:37:25
F23,2:37:34
F25,2:37:49
M29,2:37:54
F25,2:38:11
M33,2:38:15
M31,2:38:20
M26,2:38:21
M29,2:38:24
M23,2:38:24
M28,2:38:26
M31,2:38:52
M40,2:39:08
M32,2:39:19
M25,2:39:21
M26,2:39:25
