age,male,time_seconds,year
28,1,7559,2018
22,1,7561,2018
25,1,7586,2018
27,1,7710,2018
26,1,7821,2018
30,1,7944,2018
26,1,7948,2018
24,1,7960,2018
33,1,7972,2018
28,1,7988,2018
35,1,8035,2018
29,1,8037,2018
31,1,8122,2018
32,1,8131,2018
31,1,8169,2018
33,1,8211,2018
32,1,8232,2018
43,1,8240,2018
25,1,8298,2018
32,1,8300,2018
27,1,8369,2018
25,1,8385,2018
30,1,8401,2018
28,1,8416,2018
39,1,8423,2018
36,0,8568,2018
29,1,8573,2018
24,1,8596,2018
28,1,8705,2018
31,1,8725,2018
35,1,8743,2018
35,0,8762,2018
27,1,8771,2018
37,0,8782,2018
26,1,8788,2018
29,1,8791,2018
34,0,8804,2018
35,1,8805,2018
25,0,8833,2018
37,1,8855,2018
29,1,8863,2018
35,1,8869,2018
35,0,8871,2018
26,1,8881,2018
26,1,8885,2018
31,1,8888,2018
31,0,8892,2018
41,1,8915,2018
37,1,8921,2018
28,1,8923,2018
43,1,8923,2018
29,1,8933,2018
37,1,8934,2018
46,1,8935,2018
23,1,8942,2018
39,0,8951,2018
25,1,8958,2018
31,1,8965,2018
33,1,8978,2018
38,1,8987,2018
31,1,8989,2018
26,1,8994,2018
38,1,9007,2018
42,1,9018,2018
35,0,9031,2018
40,1,9033,2018
31,0,9047,2018
32,1,9056,2018
46,1,9057,2018
34,0,9059,2018
40,0,9061,2018
28,0,9064,2018
35,0,9072,2018
46,1,9073,2018
40,1,9075,2018
26,1,9079,2018
38,1,9082,2018
25,1,9089,2018
34,1,9100,2018
23,1,9111,2018
30,1,9123,2018
43,1,9123,2018
27,0,9124,2018
38,1,9128,2018
27,0,9163,2018
42,1,9166,2018
28,1,9171,2018
24,1,9186,2018
26,1,9199,2018
34,1,9210,2018
21,1,9226,2018
30,1,9228,2018
31,1,9233,2018
30,1,9266,2018
41,1,9278,2018
25,1,9284,2018
33,1,9287,2018
44,1,9294,2018
34,1,9294,2018
28,1,9308,2018
33,1,9308,2018
37,1,9313,2018
26,1,9325,2018
39,1,9337,2018
30,1,9347,2018
31,1,9348,2018
46,1,9352,2018
43,1,9358,2018
38,1,9363,2018
23,1,9366,2018
39,1,9378,2018
36,1,9379,2018
36,1,9383,2018
34,1,9386,2018
29,1,9391,2018
42,1,9393,2018
30,0,9395,2018
33,1,9395,2018
30,1,9396,2018
27,0,9397,2018
28,1,9401,2018
36,1,9403,2018
23,0,9408,2018
45,1,9418,2018
29,1,9422,2018
33,1,9424,2018
39,1,9432,2018
34,1,9436,2018
41,1,9438,2018
28,1,9440,2018
42,1,9445,2018
28,1,9452,2018
27,1,9455,2018
25,1,9464,2018
42,1,9468,2018
28,1,9480,2018
41,1,9483,2018
31,1,9485,2018
25,1,9487,2018
23,1,9497,2018
30,1,9506,2018
26,1,9508,2018
25,1,9509,2018
35,1,9510,2018
45,1,9511,2018
36,1,9513,2018
39,1,9514,2018
35,1,9515,2018
43,1,9517,2018
32,1,9522,2018
25,1,9522,2018
34,1,9524,2018
28,1,9525,2018
36,1,9538,2018
31,1,9539,2018
47,1,9540,2018
27,1,9540,2018
33,1,9543,2018
35,1,9549,2018
37,1,9552,2018
23,1,9555,2018
35,1,9556,2018
46,1,9558,2018
33,1,9560,2018
34,1,9569,2018
37,1,9570,2018
33,1,9571,2018
34,1,9577,2018
31,1,9585,2018
31,1,9586,2018
25,1,9588,2018
25,1,9591,2018
49,1,9592,2018
37,1,9594,2018
29,1,9595,2018
30,1,9601,2018
41,1,9601,2018
30,1,9601,2018
32,1,9603,2018
34,1,9607,2018
44,1,9611,2018
41,1,9615,2018
26,1,9616,2018
28,1,9621,2018
27,1,9631,2018
24,1,9643,2018
29,1,9643,2018
36,1,9644,2018
29,1,9649,2018
28,0,9652,2018
27,1,9656,2018
51,1,9657,2018
31,0,9658,2018
37,0,9660,2018
29,1,9668,2018
31,1,9670,2018
24,1,9673,2018
42,1,9676,2018
23,1,9676,2018
33,1,9679,2018
33,1,9679,2018
38,1,9683,2018
41,1,9687,2018
38,0,9692,2018
29,1,9693,2018
30,1,9700,2018
29,1,9702,2018
47,1,9702,2018
31,1,9709,2018
31,1,9712,2018
37,1,9715,2018
41,1,9715,2018
44,1,9715,2018
41,1,9718,2018
28,1,9718,2018
41,1,9719,2018
34,1,9720,2018
23,1,9727,2018
33,1,9729,2018
44,1,9730,2018
36,1,9732,2018
36,1,9732,2018
33,1,9733,2018
34,1,9734,2018
36,1,9735,2018
34,1,9736,2018
46,1,9737,2018
34,0,9739,2018
44,1,9742,2018
47,1,9744,2018
29,1,9748,2018
46,1,9749,2018
35,1,9751,2018
25,1,9751,2018
46,1,9756,2018
26,1,9757,2018
51,1,9759,2018
31,1,9766,2018
35,1,9766,2018
32,1,9768,2018
31,1,9770,2018
33,1,9778,2018
38,1,9778,2018
39,1,9778,2018
42,1,9780,2018
39,1,9782,2018
34,1,9783,2018
41,1,9788,2018
36,1,9796,2018
27,1,9798,2018
35,1,9800,2018
35,1,9805,2018
33,1,9806,2018
34,1,9809,2018
26,1,9811,2018
28,1,9812,2018
37,1,9813,2018
24,1,9814,2018
37,1,9817,2018
30,1,9821,2018
42,1,9825,2018
36,1,9829,2018
27,1,9830,2018
33,1,9836,2018
30,1,9838,2018
49,1,9839,2018
49,1,9845,2018
39,1,9846,2018
32,1,9846,2018
39,1,9846,2018
32,1,9847,2018
31,1,9847,2018
36,1,9852,2018
27,1,9858,2018
39,1,9867,2018
26,1,9869,2018
37,1,9872,2018
29,1,9876,2018
24,1,9880,2018
38,1,9885,2018
39,1,9890,2018
26,1,9891,2018
32,1,9892,2018
32,1,9898,2018
27,1,9899,2018
45,1,9900,2018
31,1,9901,2018
44,1,9903,2018
28,1,9905,2018
40,1,9905,2018
42,1,9905,2018
38,1,9906,2018
39,1,9910,2018
29,1,9913,2018
48,1,9916,2018
36,1,9919,2018
35,1,9919,2018
33,1,9920,2018
30,1,9921,2018
42,1,9922,2018
39,1,9922,2018
35,1,9924,2018
28,1,9928,2018
32,1,9935,2018
26,1,9938,2018
35,1,9940,2018
52,1,9942,2018
44,1,9942,2018
26,1,9948,2018
38,1,9953,2018
33,1,9953,2018
37,1,9954,2018
38,1,9957,2018
32,1,9960,2018
34,1,9960,2018
44,1,9964,2018
27,1,9964,2018
44,1,9965,2018
36,1,9965,2018
31,1,9966,2018
44,1,9967,2018
48,1,9975,2018
37,1,9977,2018
44,1,9977,2018
32,1,9977,2018
31,1,9977,2018
29,1,9981,2018
34,1,9981,2018
34,1,9983,2018
38,1,9987,2018
23,1,9992,2018
30,1,9994,2018
41,1,9998,2018
26,0,9998,2018
32,1,9998,2018
39,1,10000,2018
35,1,10000,2018
33,1,10001,2018
45,1,10006,2018
51,1,10007,2018
40,1,10008,2018
27,1,10009,2018
29,1,10012,2018
36,1,10013,2018
48,1,10013,2018
43,1,10013,2018
30,1,10014,2018
34,1,10014,2018
26,1,10016,2018
37,1,10017,2018
31,0,10017,2018
36,1,10017,2018
37,1,10018,2018
40,1,10018,2018
31,1,10023,2018
46,1,10025,2018
39,1,10029,2018
33,1,10030,2018
32,1,10031,2018
41,1,10032,2018
39,1,10033,2018
33,1,10035,2018
37,1,10036,2018
32,1,10038,2018
40,1,10040,2018
39,1,10042,2018
43,1,10045,2018
36,1,10046,2018
42,1,10047,2018
28,1,10047,2018
40,1,10047,2018
40,1,10049,2018
36,1,10050,2018
39,1,10051,2018
45,1,10052,2018
32,1,10052,2018
32,1,10053,2018
35,1,10055,2018
33,1,10057,2018
38,1,10060,2018
42,1,10060,2018
35,1,10060,2018
48,1,10066,2018
38,1,10066,2018
29,1,10070,2018
29,1,10070,2018
31,1,10071,2018
47,1,10071,2018
43,1,10074,2018
44,1,10075,2018
26,1,10079,2018
48,1,10079,2018
56,1,10080,2018
24,1,10083,2018
28,1,10084,2018
45,1,10084,2018
22,1,10085,2018
30,1,10085,2018
43,1,10089,2018
47,1,10092,2018
48,1,10093,2018
28,1,10094,2018
36,1,10094,2018
35,1,10095,2018
28,1,10095,2018
31,1,10096,2018
40,1,10097,2018
32,1,10098,2018
45,1,10102,2018
34,1,10102,2018
30,0,10103,2018
39,1,10108,2018
24,1,10108,2018
34,1,10110,2018
30,1,10113,2018
36,1,10113,2018
55,1,10114,2018
29,1,10116,2018
33,1,10119,2018
27,1,10119,2018
41,1,10120,2018
38,1,10121,2018
37,1,10122,2018
27,1,10122,2018
47,1,10122,2018
40,1,10122,2018
31,1,10124,2018
33,1,10127,2018
22,1,10128,2018
34,1,10129,2018
36,1,10131,2018
24,1,10132,2018
36,1,10132,2018
31,1,10137,2018
40,1,10138,2018
37,1,10141,2018
18,1,10141,2018
36,1,10143,2018
34,1,10144,2018
33,1,10144,2018
21,0,10146,2018
40,1,10147,2018
37,1,10147,2018
39,1,10147,2018
46,1,10148,2018
42,1,10149,2018
56,1,10150,2018
38,1,10151,2018
38,1,10156,2018
39,1,10156,2018
29,1,10157,2018
28,0,10158,2018
39,1,10159,2018
36,1,10159,2018
37,1,10159,2018
38,1,10160,2018
29,1,10162,2018
30,1,10163,2018
39,1,10164,2018
28,1,10165,2018
29,1,10165,2018
27,1,10168,2018
31,1,10168,2018
46,1,10168,2018
47,1,10169,2018
33,1,10171,2018
38,1,10172,2018
26,1,10173,2018
47,1,10174,2018
27,1,10175,2018
35,1,10176,2018
45,1,10181,2018
27,1,10181,2018
45,1,10183,2018
28,1,10183,2018
29,1,10184,2018
47,1,10185,2018
35,1,10185,2018
32,1,10187,2018
41,1,10188,2018
43,1,10189,2018
51,1,10189,2018
29,1,10190,2018
31,1,10192,2018
42,1,10194,2018
27,1,10194,2018
21,1,10195,2018
40,1,10195,2018
31,0,10197,2018
29,1,10200,2018
30,1,10200,2018
23,1,10202,2018
32,1,10204,2018
39,1,10204,2018
30,1,10205,2018
29,1,10209,2018
30,1,10209,2018
32,1,10212,2018
31,1,10213,2018
33,1,10215,2018
36,1,10217,2018
33,1,10218,2018
36,1,10218,2018
40,1,10218,2018
32,1,10223,2018
24,1,10224,2018
35,1,10229,2018
32,1,10230,2018
55,1,10231,2018
39,1,10234,2018
43,1,10235,2018
37,1,10235,2018
42,1,10238,2018
35,1,10239,2018
34,1,10240,2018
52,1,10241,2018
34,1,10244,2018
47,1,10247,2018
36,1,10247,2018
42,1,10248,2018
40,1,10249,2018
45,1,10250,2018
39,1,10252,2018
36,1,10252,2018
30,0,10253,2018
40,1,10255,2018
33,1,10257,2018
33,1,10257,2018
48,1,10257,2018
46,1,10258,2018
31,1,10259,2018
34,1,10260,2018
32,1,10261,2018
25,1,10261,2018
27,1,10261,2018
34,1,10262,2018
28,1,10262,2018
38,1,10263,2018
26,1,10265,2018
47,1,10269,2018
37,1,10269,2018
31,1,10269,2018
36,1,10270,2018
43,1,10271,2018
33,1,10273,2018
42,1,10276,2018
45,1,10277,2018
27,1,10277,2018
42,1,10280,2018
32,1,10281,2018
37,1,10281,2018
31,1,10282,2018
35,1,10283,2018
37,1,10283,2018
49,1,10284,2018
25,1,10285,2018
39,1,10285,2018
50,1,10286,2018
39,1,10288,2018
31,1,10296,2018
31,1,10297,2018
21,1,10297,2018
39,1,10301,2018
36,1,10302,2018
37,1,10306,2018
29,1,10308,2018
26,1,10309,2018
32,1,10309,2018
32,1,10310,2018
37,1,10311,2018
25,1,10312,2018
24,1,10313,2018
42,1,10314,2018
40,1,10314,2018
28,1,10315,2018
33,1,10315,2018
44,1,10315,2018
39,1,10316,2018
30,1,10317,2018
31,1,10319,2018
36,1,10319,2018
33,1,10320,2018
43,1,10322,2018
34,1,10323,2018
29,1,10324,2018
25,1,10324,2018
41,1,10325,2018
44,1,10325,2018
28,1,10326,2018
36,1,10327,2018
35,1,10328,2018
35,1,10329,2018
41,1,10330,2018
51,1,10331,2018
27,1,10333,2018
37,1,10333,2018
39,1,10334,2018
29,1,10336,2018
19,0,10336,2018
42,1,10337,2018
45,1,10338,2018
20,1,10339,2018
