age,male,time_seconds,year
27,1,7702,2021
31,1,7746,2021
28,1,7792,2021
38,1,7875,2021
32,1,7899,2021
39,1,7972,2021
35,1,7973,2021
31,1,7977,2021
25,1,8023,2021
33,1,8046,2021
29,1,8051,2021
30,1,8136,2021
25,1,8199,2021
36,1,8210,2021
29,1,8245,2021
26,1,8337,2021
34,1,8453,2021
31,1,8453,2021
30,1,8515,2021
26,1,8536,2021
28,1,8559,2021
28,0,8559,2021
32,0,8564,2021
30,0,8572,2021
32,1,8637,2021
27,0,8682,2021
35,1,8716,2021
26,1,8764,2021
41,0,8769,2021
35,0,8770,2021
33,1,8774,2021
26,1,8776,2021
24,0,8778,2021
32,0,8820,2021
26,1,8844,2021
37,1,8892,2021
33,1,8908,2021
29,1,8950,2021
23,1,8953,2021
32,1,8957,2021
39,1,8959,2021
30,1,8993,2021
25,1,9024,2021
31,1,9028,2021
28,0,9032,2021
37,0,9065,2021
28,1,9120,2021
32,1,9131,2021
26,1,9134,2021
29,1,9138,2021
31,1,9163,2021
37,0,9174,2021
27,1,9175,2021
26,1,9188,2021
30,1,9202,2021
50,1,9211,2021
40,0,9212,2021
36,1,9213,2021
40,1,9214,2021
28,1,9224,2021
32,1,9242,2021
34,0,9244,2021
23,1,9262,2021
26,0,9291,2021
28,1,9314,2021
31,1,9334,2021
29,1,9339,2021
41,1,9341,2021
30,1,9350,2021
37,1,9354,2021
41,0,9354,2021
38,1,9355,2021
37,1,9382,2021
31,1,9392,2021
24,1,9399,2021
27,1,9405,2021
36,1,9415,2021
29,1,9430,2021
38,1,9444,2021
27,1,9445,2021
45,1,9447,2021
37,1,9454,2021
32,1,9458,2021
35,1,9461,2021
36,1,9480,2021
30,1,9483,2021
48,1,9485,2021
24,1,9488,2021
31,1,9511,2021
42,1,9512,2021
33,1,9516,2021
34,1,9517,2021
36,1,9521,2021
30,0,9534,2021
31,1,9548,2021
35,0,9555,2021
37,1,9556,2021
38,1,9558,2021
34,0,9562,2021
41,1,9564,2021
36,1,9568,2021
30,1,9568,2021
21,1,9570,2021
34,1,9571,2021
29,1,9577,2021
38,1,9584,2021
29,0,9587,2021
32,1,9591,2021
36,1,9594,2021
34,1,9597,2021
31,1,9606,2021
27,1,9620,2021
32,1,9627,2021
44,1,9636,2021
29,0,9645,2021
33,1,9646,2021
28,1,9647,2021
34,1,9677,2021
31,1,9690,2021
31,1,9697,2021
27,1,9699,2021
31,1,9704,2021
24,1,9706,2021
38,1,9716,2021
35,1,9717,2021
30,1,9719,2021
34,1,9733,2021
39,1,9756,2021
41,1,9761,2021
42,1,9770,2021
31,1,9780,2021
29,1,9789,2021
33,1,9789,2021
39,1,9791,2021
45,1,9800,2021
46,1,9802,2021
49,1,9803,2021
35,1,9812,2021
40,1,9825,2021
36,1,9826,2021
38,1,9828,2021
48,1,9828,2021
37,1,9830,2021
45,1,9839,2021
31,1,9840,2021
38,1,9845,2021
35,1,9845,2021
27,1,9846,2021
33,1,9847,2021
39,0,9851,2021
46,1,9871,2021
44,1,9879,2021
34,1,9885,2021
26,1,9888,2021
32,1,9892,2021
34,1,9903,2021
31,0,9906,2021
30,1,9911,2021
39,1,9916,2021
32,1,9917,2021
26,1,9924,2021
33,0,9926,2021
28,1,9929,2021
23,1,9930,2021
31,1,9931,2021
25,1,9933,2021
31,1,9933,2021
38,1,9937,2021
25,1,9938,2021
35,1,9939,2021
38,1,9941,2021
45,1,9945,2021
47,1,9948,2021
37,0,9948,2021
36,1,9952,2021
21,1,9957,2021
25,1,9965,2021
57,1,9966,2021
27,1,9966,2021
34,1,9970,2021
38,1,9972,2021
43,1,9974,2021
27,1,9981,2021
27,1,9990,2021
36,1,9992,2021
40,1,9993,2021
49,1,9997,2021
28,1,9998,2021
25,1,10013,2021
28,1,10014,2021
39,1,10016,2021
31,1,10016,2021
33,0,10018,2021
41,1,10019,2021
41,1,10020,2021
35,1,10022,2021
24,1,10026,2021
29,1,10031,2021
32,1,10034,2021
34,1,10039,2021
42,1,10039,2021
41,1,10043,2021
32,1,10048,2021
33,1,10048,2021
30,1,10051,2021
30,1,10054,2021
38,1,10056,2021
35,1,10062,2021
35,1,10064,2021
27,0,10065,2021
30,1,10068,2021
34,1,10070,2021
45,1,10077,2021
26,1,10083,2021
25,0,10084,2021
36,1,10084,2021
40,0,10090,2021
32,1,10095,2021
40,1,10105,2021
29,1,10106,2021
35,0,10106,2021
32,1,10110,2021
28,1,10114,2021
28,0,10115,2021
28,0,10118,2021
47,1,10125,2021
29,1,10130,2021
28,1,10134,2021
27,1,10138,2021
25,1,10140,2021
44,1,10148,2021
26,1,10149,2021
32,1,10156,2021
32,1,10157,2021
30,1,10159,2021
26,1,10160,2021
38,1,10161,2021
36,1,10162,2021
24,1,10164,2021
31,1,10164,2021
26,1,10165,2021
36,0,10165,2021
50,1,10165,2021
49,1,10166,2021
41,1,10169,2021
40,1,10171,2021
31,1,10172,2021
39,1,10173,2021
26,1,10174,2021
33,0,10174,2021
28,1,10182,2021
35,1,10182,2021
50,1,10184,2021
27,1,10192,2021
40,1,10194,2021
38,1,10196,2021
36,0,10196,2021
27,1,10198,2021
30,1,10198,2021
37,1,10198,2021
28,1,10202,2021
40,1,10204,2021
41,1,10208,2021
42,1,10212,2021
29,1,10213,2021
38,1,10216,2021
32,1,10217,2021
22,1,10219,2021
35,1,10222,2021
40,1,10224,2021
31,1,10227,2021
30,1,10229,2021
27,1,10230,2021
31,1,10231,2021
38,1,10233,2021
38,1,10234,2021
30,1,10234,2021
33,1,10246,2021
49,1,10246,2021
38,1,10246,2021
38,1,10247,2021
30,0,10249,2021
40,1,10250,2021
32,1,10254,2021
26,0,10257,2021
36,1,10258,2021
29,0,10275,2021
26,1,10279,2021
41,1,10280,2021
36,1,10282,2021
46,1,10285,2021
38,1,10293,2021
35,1,10293,2021
31,1,10296,2021
38,1,10300,2021
35,1,10304,2021
32,1,10306,2021
36,1,10308,2021
33,1,10308,2021
36,1,10310,2021
29,1,10314,2021
31,1,10314,2021
43,1,10318,2021
23,1,10319,2021
51,1,10320,2021
30,1,10324,2021
40,1,10327,2021
46,1,10330,2021
48,1,10333,2021
32,1,10334,2021
30,1,10337,2021
27,0,10340,2021
33,1,10341,2021
38,1,10344,2021
28,0,10345,2021
40,1,10346,2021
37,1,10346,2021
37,1,10348,2021
37,1,10350,2021
28,1,10357,2021
34,1,10357,2021
30,1,10360,2021
33,1,10360,2021
36,1,10368,2021
44,1,10369,2021
44,0,10376,2021
25,1,10377,2021
27,1,10383,2021
36,1,10385,2021
22,1,10387,2021
25,1,10390,2021
44,0,10392,2021
33,1,10393,2021
47,1,10394,2021
41,1,10394,2021
49,1,10396,2021
44,1,10397,2021
38,1,10402,2021
41,1,10410,2021
36,1,10410,2021
31,1,10411,2021
29,0,10413,2021
33,1,10416,2021
32,1,10417,2021
46,1,10419,2021
29,1,10420,2021
38,1,10420,2021
22,1,10421,2021
40,1,10421,2021
33,1,10423,2021
35,0,10424,2021
31,1,10435,2021
26,1,10435,2021
37,1,10438,2021
31,0,10438,2021
40,1,10439,2021
26,1,10440,2021
37,1,10440,2021
44,1,10441,2021
34,0,10443,2021
51,1,10446,2021
38,1,10446,2021
41,1,10448,2021
30,1,10450,2021
39,1,10450,2021
34,1,10452,2021
29,1,10457,2021
43,1,10457,2021
36,1,10458,2021
31,1,10459,2021
34,0,10460,2021
39,1,10461,2021
40,1,10461,2021
31,1,10461,2021
31,1,10462,2021
37,1,10466,2021
24,1,10467,2021
45,1,10469,2021
37,1,10469,2021
38,1,10473,2021
45,1,10477,2021
40,1,10481,2021
48,1,10484,2021
28,0,10485,2021
47,1,10487,2021
47,1,10489,2021
34,1,10489,2021
25,1,10491,2021
31,1,10491,2021
26,1,10492,2021
26,0,10492,2021
29,1,10497,2021
32,1,10497,2021
38,0,10501,2021
46,1,10501,2021
29,1,10501,2021
28,1,10504,2021
42,1,10505,2021
29,1,10507,2021
29,1,10508,2021
37,1,10509,2021
40,1,10511,2021
37,1,10513,2021
31,1,10513,2021
31,1,10515,2021
33,1,10516,2021
42,1,10517,2021
39,1,10517,2021
37,1,10519,2021
31,1,10520,2021
30,1,10520,2021
31,1,10525,2021
30,1,10531,2021
36,0,10531,2021
55,0,10535,2021
34,1,10535,2021
33,1,10536,2021
25,1,10537,2021
44,1,10537,2021
27,1,10539,2021
66,1,10542,2021
45,1,10544,2021
26,1,10546,2021
33,1,10547,2021
41,1,10548,2021
33,1,10551,2021
33,1,10553,2021
55,1,10554,2021
26,0,10554,2021
33,1,10554,2021
46,1,10555,2021
44,1,10555,2021
35,1,10555,2021
25,1,10556,2021
41,1,10558,2021
30,1,10559,2021
34,1,10561,2021
31,1,10563,2021
46,1,10564,2021
35,1,10565,2021
48,1,10565,2021
42,1,10569,2021
33,1,10574,2021
36,1,10575,2021
22,1,10577,2021
34,1,10577,2021
32,0,10579,2021
35,0,10581,2021
31,1,10583,2021
25,1,10584,2021
36,1,10586,2021
31,0,10586,2021
26,1,10587,2021
26,1,10595,2021
36,1,10595,2021
48,1,10598,2021
36,1,10599,2021
48,1,10599,2021
44,1,10600,2021
29,1,10602,2021
40,1,10602,2021
36,1,10602,2021
41,1,10605,2021
35,1,10606,2021
35,1,10607,2021
31,1,10608,2021
32,1,10609,2021
36,1,10609,2021
31,1,10611,2021
56,1,10617,2021
46,1,10621,2021
32,0,10621,2021
43,1,10626,2021
51,1,10626,2021
40,1,10626,2021
41,1,10628,2021
34,1,10630,2021
25,1,10632,2021
27,1,10632,2021
25,1,10634,2021
30,1,10635,2021
19,1,10638,2021
28,1,10641,2021
57,1,10642,2021
43,1,10643,2021
23,1,10644,2021
36,1,10644,2021
29,1,10646,2021
27,1,10648,2021
31,0,10649,2021
41,1,10651,2021
40,1,10652,2021
40,1,10653,2021
44,0,10653,2021
52,1,10657,2021
35,1,10657,2021
30,1,10660,2021
44,1,10664,2021
52,1,10665,2021
28,1,10667,2021
39,0,10667,2021
35,1,10668,2021
25,0,10668,2021
45,1,10668,2021
38,1,10670,2021
48,1,10670,2021
42,1,10670,2021
57,1,10673,2021
31,1,10674,2021
29,0,10675,2021
36,1,10676,2021
43,1,10678,2021
57,1,10678,2021
34,1,10682,2021
31,0,10683,2021
33,0,10684,2021
52,1,10684,2021
31,0,10689,2021
48,1,10690,2021
42,1,10691,2021
42,1,10693,2021
33,1,10693,2021
38,1,10694,2021
42,1,10696,2021
45,1,10700,2021
22,0,10700,2021
50,1,10704,2021
21,1,10707,2021
32,1,10708,2021
23,1,10708,2021
38,1,10709,2021
35,1,10709,2021
43,1,10710,2021
33,1,10710,2021
32,1,10710,2021
28,1,10711,2021
35,1,10712,2021
25,1,10713,2021
36,0,10714,2021
45,1,10718,2021
30,1,10719,2021
39,1,10720,2021
20,1,10720,2021
