age,male,time_seconds,year
39,1,10268,2015
31,1,10269,2015
34,1,10272,2015
28,1,10280,2015
37,1,10281,2015
27,1,10287,2015
26,1,10290,2015
31,1,10290,2015
33,1,10293,2015
28,1,10296,2015
45,1,10296,2015
31,1,10297,2015
41,1,10297,2015
43,1,10298,2015
22,1,10300,2015
36,1,10301,2015
44,1,10302,2015
33,1,10303,2015
40,1,10307,2015
22,1,10308,2015
44,1,10310,2015
29,1,10320,2015
40,1,10321,2015
40,1,10321,2015
41,1,10324,2015
34,1,10326,2015
33,1,10328,2015
38,1,10332,2015
49,1,10333,2015
45,1,10334,2015
29,1,10334,2015
43,1,10336,2015
29,1,10339,2015
29,1,10341,2015
38,1,10341,2015
30,1,10342,2015
32,1,10349,2015
49,1,10351,2015
40,1,10352,2015
50,1,10353,2015
28,1,10357,2015
37,1,10357,2015
45,1,10359,2015
33,1,10361,2015
32,1,10362,2015
29,1,10362,2015
34,1,10363,2015
29,1,10365,2015
46,1,10367,2015
21,1,10367,2015
45,1,10368,2015
29,1,10369,2015
35,1,10369,2015
40,1,10376,2015
29,1,10376,2015
38,1,10379,2015
33,0,10379,2015
27,1,10381,2015
27,1,10382,2015
39,1,10386,2015
35,1,10386,2015
39,1,10388,2015
50,1,10388,2015
33,1,10390,2015
21,1,10392,2015
30,1,10393,2015
28,1,10395,2015
43,1,10399,2015
40,1,10400,2015
28,0,10401,2015
32,1,10401,2015
41,1,10401,2015
24,1,10402,2015
41,1,10403,2015
38,1,10405,2015
41,1,10407,2015
37,1,10409,2015
31,1,10409,2015
38,1,10409,2015
21,1,10409,2015
34,1,10414,2015
32,1,10418,2015
42,1,10418,2015
49,1,10418,2015
33,1,10418,2015
43,1,10419,2015
27,1,10420,2015
28,1,10420,2015
40,1,10422,2015
22,1,10424,2015
32,1,10425,2015
42,1,10426,2015
34,1,10427,2015
40,1,10427,2015
43,1,10427,2015
34,1,10429,2015
36,1,10432,2015
29,1,10432,2015
34,1,10435,2015
29,1,10435,2015
